Head,HeadName,SameHeadStartFlag,Programme No.,Programme Name,Sector,2015-16-Actual,"2016-17
(Original)
($m)","2016-17
(Revised)
($m)","2017-18
(Estimate)
($m)"
47,Government Secretariat: Office of the Government Chief Information Officer,1,1,Use of Information Technology (IT) in Government,,569.1,560.8,560.4,570.8
47,Government Secretariat: Office of the Government Chief Information Officer,0,2,IT Infrastructure and Standards,,62.8,80.7,81,76.5
47,Government Secretariat: Office of the Government Chief Information Officer,0,3,IT in the Community,,87.4,101.9,104.8,118.7
48,Government Laboratory,1,1,Statutory Testing,,209.6,218.6,219.5,211
48,Government Laboratory,0,2,Advisory and Investigative Services,,83.3,88,92.6,89.6
48,Government Laboratory,0,3,Forensic Science Services,,158.7,158.4,162.9,163.3
49,Food and Environmental Hygiene Department,1,1,Food Safety and Public Health,,1033.4,1033.7,1097.1,1131.4
49,Food and Environmental Hygiene Department,0,2,Environmental Hygiene and Related Services,,3210.7,3440.3,3488.8,3673.4
49,Food and Environmental Hygiene Department,0,3,Market Management and Hawker Control,,1745.6,1896,1918.8,1921.1
49,Food and Environmental Hygiene Department,0,4,Public Education and Community Involvement,,46.4,31.9,48.6,50.3
51,Government Property Agency,1,1,Acquisition and Allocation,,774.4,742.4,733.8,711.5
51,Government Property Agency,0,2,Property Management,,1070.6,1148.9,1157,1182.2
51,Government Property Agency,0,3,Estate Utilisation,,56.4,51.4,51.9,49
53,Government Secretariat: Home Affairs Bureau,1,1,Director of Bureau's Office,,12.3,12.2,12.2,12.1
53,Government Secretariat: Home Affairs Bureau,0,2,Social Harmony and Civic Education,,414.5,513.7,496.9,543.7
53,Government Secretariat: Home Affairs Bureau,0,3,"District, Community, and Public Relations",,70.8,55.8,75.5,154.8
53,Government Secretariat: Home Affairs Bureau,0,4,"Recreation, Sport and Entertainment Licensing",,144.6,182.1,162.8,173.1
53,Government Secretariat: Home Affairs Bureau,0,5,Culture,,150,173.5,175.6,206.9
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Hong Kong Academy for Performing Arts,312.6,309.3,320.1,327.4
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Hong Kong Arts Development Council,129.7,124.4,125.4,126
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Major Performing Arts Groups,334.6,334.6,334.1,334.6
53,Government Secretariat: Home Affairs Bureau,0,7,Subvention: Duty Lawyer Service and Legal Aid Services Council,Duty Lawyer Service,118.4,129.8,126.6,140.7
53,Government Secretariat: Home Affairs Bureau,0,7,Subvention: Duty Lawyer Service and Legal Aid Services Council,Legal Aid Services Council ,6.1,6.2,6.4,6.5
55,Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch),1,1,Broadcasting and Creative Industries,,269.2,392.3,372.6,384.6
55,Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch),0,2,Telecommunications,,13.7,22.1,15.3,24.8
59,Government Logistics Department,1,1,Procurement,,50.6,53.4,48.7,50.9
59,Government Logistics Department,0,2,Supplies Management,,75.4,84.3,86.3,93
59,Government Logistics Department,0,3,Land Transport,,202,239.4,240.7,251.9
59,Government Logistics Department,0,4,Printing Services,,221.7,225.4,226.8,224
60,Highways Department,1,1,Capital Projects,,403.4,444.3,433.7,465.4
60,Highways Department,0,2,District and Maintenance Works,,1362.2,1526.3,1433.4,1710.7
60,Highways Department,0,3,Railway Development,,117.1,125.5,123,133
60,Highways Department,0,4,Technical Services,,764.6,819.1,817.8,839.6
62,Housing Department,1,1,Building Control,,126.2,141.7,145.9,150.2
62,Housing Department,0,2,Private Housing,,66,78.1,81.9,81.5
62,Housing Department,0,3,Appeal Panel (Housing),,9.9,11,11.3,10.9
62,Housing Department,0,4,Rehousing of Occupants upon Clearance,,23.9,23.9,24.7,24.5
62,Housing Department,0,5,Support Services,,47.1,32.9,33.5,37.5
63,Home Affairs Department,1,1,District Administration,,960.7,963.8,1008.8,1018.1
63,Home Affairs Department,0,2,Community Building,,1107.2,1079.8,1086.9,1222.4
63,Home Affairs Department,0,3,Local Environmental Improvements,,235.9,259.4,262.2,271.6
63,Home Affairs Department,0,4,Licensing,,70.8,66.9,66,69.5
63,Home Affairs Department,0,5,Territory Planning and Development,,22.6,23.5,24.4,25.5
70,Immigration Department,1,1,Pre-entry Control,,288.6,308.3,309.7,327.6
70,Immigration Department,0,2,Control upon Entry,,2170.7,2296.2,2298.9,2484.1
70,Immigration Department,0,3,Control after Entry,,876.6,933.2,935.4,994.4
70,Immigration Department,0,4,Personal Documentation,,668.3,706.5,707.6,726.7
70,Immigration Department,0,5,Nationality and Assistance to HKSAR Residents outside Hong Kong,,23,23.9,24.3,25.7
72,Independent Commission Against Corruption,1,1,Corruption Prevention,,71.6,71.6,79.4,79.6
72,Independent Commission Against Corruption,0,2,Operations,,776.5,782.1,806.3,822.3
72,Independent Commission Against Corruption,0,3,Preventive Education,,78,77.7,81.1,85.7
72,Independent Commission Against Corruption,0,4,Enlisting Support,,80.5,80.2,83.8,86.6
74,Information Services Department,1,1,Public Relations Outside Hong Kong,,103,100.6,98.5,137
74,Information Services Department,0,2,Local Public Relations and Public Information,,204.3,212.7,218.9,227.4
74,Information Services Department,0,3,Public Opinion,,22.6,24.1,22.7,21.4
74,Information Services Department,0,4,Civic Responsibility,,43.2,49.3,54.1,53
74,Information Services Department,0,5,Publishing,,74.4,70.9,73.9,66.7
76,Inland Revenue Department,1,1,Assessing Functions,,1040,1084,1095.5,1130.1
76,Inland Revenue Department,0,2,Collection,,163.6,167.5,170.1,172.6
76,Inland Revenue Department,0,3,Investigation and Field Audit,,222.7,227.2,229.9,235.2
76,Inland Revenue Department,0,4,Taxpayer Services,,27.1,27.7,28,28.6
78,Intellectual Property Department,1,1,Statutory Functions,,97.7,100.5,106.8,113.1
78,Intellectual Property Department,0,2,Protection of Intellectual Property,,39.9,47,40.9,43.3
79,Invest Hong Kong,1,1,Investment Promotion,,115.7,128.2,126.4,130.7
80,Judiciary,1,1,"Courts, Tribunals and Various Statutory Functions",,1044.5,1204.5,1143.5,1350.8
80,Judiciary,0,2,Support Services for Courts' Operation,,338.3,383,379.8,411.9
82,Buildings Department,1,1,Buildings and Building Works,,1251.8,1308.7,1350.2,1382.9
90,Labour Department,1,1,Labour Relations,,157.3,174.2,170.2,177.9
90,Labour Department,0,2,Employment Services,,833.5,913.9,804.7,883
90,Labour Department,0,3,Safety and Health at Work,,477.9,484,490.1,509.8
90,Labour Department,0,4,Employees' Rights and Benefits,,347.2,375.2,380.1,382.5
91,Lands Department,1,1,Land Administration,,1718.2,1731.3,1763.3,1802
91,Lands Department,0,2,Survey and Mapping,,534.4,549.7,563.1,574.9
91,Lands Department,0,3,Legal Advice,,71,76,74.6,76.1
92,Department of Justice,1,1,Prosecutions,,613.8,900.3,612.9,855.9
92,Department of Justice,0,2,Civil,,606.6,1025.9,658.3,787.5
92,Department of Justice,0,3,Legal Policy,,105.1,128.3,125.4,130.1
92,Department of Justice,0,4,Law Drafting,,115.4,126.5,123.1,131.8
92,Department of Justice,0,5,International Law,,68.4,59.9,60.8,66.6
94,Legal Aid Department,1,1,Processing of Legal Aid Applications,,102.5,103.7,107.1,111.3
94,Legal Aid Department,0,2,Litigation Services,,703,845.7,849.3,825.8
94,Legal Aid Department,0,3,Support Services,,40.5,42.4,43.4,44.9
94,Legal Aid Department,0,4,Official Solicitor's Office,,14.5,15.9,14.6,14.8
95,Leisure and Cultural Services Department,1,1,Recreation and Sports,,3675.1,3958.3,3933.7,4079.5
95,Leisure and Cultural Services Department,0,2,Horticulture and Amenities,,914,1141.7,1085.8,1091.7
95,Leisure and Cultural Services Department,0,3,Heritage and Museums,,817.2,942.5,927.5,1009.4
95,Leisure and Cultural Services Department,0,4,Performing Arts,,1114,1138.7,1213,1225.3
95,Leisure and Cultural Services Department,0,5,Public Libraries,,1060.5,1191.2,1141.9,1193.4
96,Government Secretariat: Overseas Economic and Trade Offices,1,1,Commercial Relations,,147.5,187.5,174.8,201.7
96,Government Secretariat: Overseas Economic and Trade Offices,0,2,Public Relations,,113.2,140.2,134.9,157.8
96,Government Secretariat: Overseas Economic and Trade Offices,0,3,Investment Promotion,,53.7,63.9,62.2,72.4
100,Marine Department,1,1,Infrastructure,,62.5,57.9,62.6,63.6
100,Marine Department,0,2,Port Services,,418.9,450.6,449.7,488.3
100,Marine Department,0,3,Local Services,,115.9,153.1,141.9,152.7
100,Marine Department,0,4,Services to Ships,,102.7,96.1,99.3,97.7
100,Marine Department,0,5,Government Fleet,,495.8,553,559.6,559.8
112,Legislative Council Commission,1,1,Members' Offices and Remuneration,,236.9,290.5,305.3,283.5
112,Legislative Council Commission,0,2,Council Business Services,,398.8,408.2,419.6,405.1
112,Legislative Council Commission,0,3,Legal Service,,48.7,50.8,52.9,52.3
112,Legislative Council Commission,0,4,Redress System,,22.5,22.9,23.1,22.5
112,Legislative Council Commission,0,5,Library and Archives Services,,33,36.3,35.6,38
112,Legislative Council Commission,0,6,Corporate Liaison and Education and Visitor Services,,37,41.4,41.3,40.5
114,Office of The Ombudsman,1,1,Complaints Administration,,111.3,110.8,115.1,114.1
116,Official Receiver's Office,1,1,Official Receiver's Office,,156.9,190.6,191.6,180.3
118,Planning Department,1,1,Territorial Planning,,130.4,139.5,136.2,142.8
118,Planning Department,0,2,District Planning,,375.4,385.8,391.2,388.2
118,Planning Department,0,3,Town Planning Information Services,,25.7,27.2,31.5,38.8
118,Planning Department,0,4,Technical Services,,105.4,104.7,111.8,116.9
120,Pensions,1,1,Public and Judicial Service Pension Benefits,,29412,33025.5,32208.6,35364.9
120,Pensions,0,2,War Memorial Pensions/Volunteer Pensions,,20.8,21.2,20.1,20.1
121,Independent Police Complaints Council,1,1,Police Complaints Administration,,58.9,62.3,64.2,73.4
122,Hong Kong Police Force,1,1,Maintenance of Law and Order in the Community,,8038.1,8434.3,8679.4,8992.4
122,Hong Kong Police Force,0,2,Prevention and Detection of Crime,,3942.3,3567.2,3648.9,3781.1
122,Hong Kong Police Force,0,3,Road Safety,,1428.3,1735.2,1789,1834.6
122,Hong Kong Police Force,0,4,Operations,,3656,3566.8,3595.8,3887.6
135,Government Secretariat: Innovation and Technology Bureau,1,1,Director of Bureau¡¦s Office,,3.9,14.7,14.7,15.5
135,Government Secretariat: Innovation and Technology Bureau,0,2,Innovation and Technology,,7.1,28.7,24.6,162.7
136,Public Service Commission Secretariat,1,1,Secretariat services for the Public Service Commission,,22.6,25,25,30.4
137,Government Secretariat: Environment Bureau,1,1,Director of Bureau's Office,,15.9,16,15.7,15.7
137,Government Secretariat: Environment Bureau,0,2,Power,,31.9,27.1,31.2,31.4
137,Government Secretariat: Environment Bureau,0,3,Sustainable Development,,29,34.7,30.9,33.7
138,Government Secretariat: Development Bureau (Planning and Lands Branch),1,1,Director of Bureau's Office,,13.6,13.6,13.8,14.1
138,Government Secretariat: Development Bureau (Planning and Lands Branch),0,2,"Buildings, Lands and Planning",,291.9,304.7,300.4,378.6
139,Government Secretariat: Food and Health Bureau (Food Branch),1,1,Director of Bureau's Office,,12,11.8,12,12.4
139,Government Secretariat: Food and Health Bureau (Food Branch),0,2,"Agriculture, Fisheries and Food Safety",,41.1,96.4,70.3,83.3
139,Government Secretariat: Food and Health Bureau (Food Branch),0,3,Environmental Hygiene,,21.7,39.7,52.8,66.4
140,Government Secretariat: Food and Health Bureau (Health Branch),1,1,Health,,345.4,489.3,466.7,538.4
140,Government Secretariat: Food and Health Bureau (Health Branch),0,2,Subvention: Hospital Authority,,61548.9,51588.9,53426.6,55283
140,Government Secretariat: Food and Health Bureau (Health Branch),0,3,Subvention: Prince Philip Dental Hospital,,159.1,159.8,163.7,168.6
141,Government Secretariat: Labour and Welfare Bureau,1,1,Director of Bureau's Office,,12.8,12.6,12.8,12.8
141,Government Secretariat: Labour and Welfare Bureau,0,2,Social Welfare,,372.2,415,391,441.1
141,Government Secretariat: Labour and Welfare Bureau,0,3,Women's Interests,,27.9,33,32,35.3
141,Government Secretariat: Labour and Welfare Bureau,0,4,Manpower Development,,29.8,35.6,33.5,40.7
141,Government Secretariat: Labour and Welfare Bureau,0,5,Subvention: Shine Skills Centres,,103.6,103.8,107.1,105.1
141,Government Secretariat: Labour and Welfare Bureau,0,6,Subvention: Guardianship Board and Environmental Advisory Service,,7.2,7.4,7.5,8.7
141,Government Secretariat: Labour and Welfare Bureau,0,7,Subvention: Vocational Training Council (Vocational Training),,201.8,200.1,203.5,196.8
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,1,1,Efficiency Unit,,215.8,234.6,228.9,237.8
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,2,Government Records Service,,58.2,66.6,68.8,64.8
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,3,CSO-Administration Wing,,529.6,610.9,566.7,589.2
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,4,Protocol Division,,43.1,45.9,50.4,102.2
143,Government Secretariat: Civil Service Bureau,1,1,Director of Bureau's Office,,7.2,7.2,7.4,7.4
143,Government Secretariat: Civil Service Bureau,0,2,Human Resource Management,,266.4,290.7,294.8,301.5
143,Government Secretariat: Civil Service Bureau,0,3,Translation and Interpretation Services and Use of Official Languages,,134.8,136.9,133.9,142
143,Government Secretariat: Civil Service Bureau,0,4,Civil Service Training and Development,,135.9,144.1,141.5,149.7
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,1,1,Director of Bureau's Office,,9.2,11.1,9.9,11.6
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,2,Constitutional and Mainland Affairs,,113,108.6,111.2,113.3
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,3,Mainland and Taiwan Offices,,256.6,283.9,279.4,354.6
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,4,Rights of the Individual,,26.6,25.1,25.4,27
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,5,Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,Equal Opportunities Commission,105.7,107,107.2,115.5
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,5,Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,Office of the Privacy Commissioner for Personal Data,73.5,72.3,74.8,76.1
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),1,1,Director of Bureau's Office,,14.2,14.1,14.2,14.3
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),0,2,Revenue and Financial Control,,146.8,153.7,154.8,166.3
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),0,3,Service Departments,,61.6,65.7,66.4,66.2
148,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),1,1,Financial Services,,241.1,765.5,763.2,343.6
151,Government Secretariat: Security Bureau,1,1,Director of Bureau's Office,,13.5,13.6,13.7,13.8
151,Government Secretariat: Security Bureau,0,2,Internal Security,,145.2,156.9,153.6,185.2
151,Government Secretariat: Security Bureau,0,3,Immigration Control,,176.8,310.1,235.1,407.6
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),1,1,Director of Bureau's Office,,12.2,12.3,12.4,12.5
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,2,Commerce and Industry,,620.4,345.9,217.4,738.2
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,3,Subvention: Hong Kong Trade Development Council,,393.4,389.5,389.5,385.5
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,4,"Posts, Competition Policy and Consumer Protection",,9.4,9,9.4,9.8
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,5,Subvention: Consumer Council,,109.1,108.3,115.4,106.6
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,6,Travel and Tourism,,191.7,267.5,227.3,239.4
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,7,Subvention: Hong Kong Tourism Board,,758.6,871.9,883.2,944.4
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,8,Public Safety,,0.5,0.5,0.5,0.5
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,9,Subvention: Competition Commission,,78,77.1,79.5,78.7
155,Government Secretariat: Innovation and Technology Commission,1,1,Support for Research and Development,,99.2,55,52.3,55.5
155,Government Secretariat: Innovation and Technology Commission,0,2,Fostering University-Industry Collaboration,,6.5,6.9,7.2,7.4
155,Government Secretariat: Innovation and Technology Commission,0,3,Promotion of Technological Entrepreneurship,,10.4,21.6,19.7,22.5
155,Government Secretariat: Innovation and Technology Commission,0,4,Planning for Innovation and Technology Development,,36.4,42.2,46.5,55.8
155,Government Secretariat: Innovation and Technology Commission,0,5,Infrastructural Support,,12.8,13.3,13.6,13.7
155,Government Secretariat: Innovation and Technology Commission,0,6,Quality Support,,113.3,113.4,114.7,109.7
155,Government Secretariat: Innovation and Technology Commission,0,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",Hong Kong Applied Science and Technology Research Institute Company Limited,141.5,140,140,143.6
155,Government Secretariat: Innovation and Technology Commission,0,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",Hong Kong Productivity Council,197.7,195.9,200.9,213
156,Government Secretariat: Education Bureau,1,1,Director of Bureau's Office,,12.3,12.4,12.7,12.7
156,Government Secretariat: Education Bureau,0,2,Pre-primary Education,,3229.2,3484.3,3704.5,5282.2
156,Government Secretariat: Education Bureau,0,3,Primary Education,Government sector,1091.9,1177.1,1188,1217.9
156,Government Secretariat: Education Bureau,0,3,Primary Education,Subvented sector,14565.3,15205.4,15520.8,16149.9
156,Government Secretariat: Education Bureau,0,4,Secondary Education,Government sector,1508.3,1601.8,1601.8,1610.1
156,Government Secretariat: Education Bureau,0,4,Secondary Education,Subvented sector,23284.9,23501,24088.8,24341.9
156,Government Secretariat: Education Bureau,0,5,Special Education,,2190,2309.5,2324.1,2451.6
156,Government Secretariat: Education Bureau,0,6,Other Educational Services and Subsidies,,784.2,902.7,1610.7,952.2
156,Government Secretariat: Education Bureau,0,7,"Post-secondary, Vocational and Professional Education",,3750.3,3006.5,2901.1,3390.9
156,Government Secretariat: Education Bureau,0,8,Policy and Support,,1870.1,1983.4,1855.3,1984.4
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),1,1,Director of Bureau's Office,,14.7,14,14.7,14.7
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),0,2,Land and Waterborne Transport,,92,97.9,103.4,102.8
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),0,3,Air and Sea Communications and Logistics Development,,99.5,166.9,130.4,162.9
159,Government Secretariat: Development Bureau (Works Branch),1,1,Water Supply,,22.9,11.3,17.2,32.1
159,Government Secretariat: Development Bureau (Works Branch),0,2,Heritage Conservation,,47.6,59.3,53.8,75.5
159,Government Secretariat: Development Bureau (Works Branch),0,3,"Greening, Landscape and Tree Management",,46.6,53.1,46.6,51.8
159,Government Secretariat: Development Bureau (Works Branch),0,4,Energizing Kowloon East,,28.7,33.4,34.6,39
159,Government Secretariat: Development Bureau (Works Branch),0,5,Intra-Governmental Services,,292.1,259.8,267.8,307.3
160,Radio Television Hong Kong,1,1,Radio,,354.1,385.5,398.1,400.1
160,Radio Television Hong Kong,0,2,Public Affairs and General Television Programme,,416.2,523.7,513.8,520.7
160,Radio Television Hong Kong,0,3,School Education Television Programme,,32.1,33.9,34.7,29.6
160,Radio Television Hong Kong,0,4,New Media,,38.5,35.3,42.6,44.8
162,Rating and Valuation Department,1,1,Statutory Valuation and Assessments,,316.8,331.7,330.6,337.1
162,Rating and Valuation Department,0,2,Collection and Billing of Rates and Government Rent,,63.7,65.4,66.6,67.3
162,Rating and Valuation Department,0,3,Provision of Valuation and Property Information Services,,84.3,85.6,88.2,89.5
162,Rating and Valuation Department,0,4,Landlord and Tenant Services,,30.7,31,32,32
163,Registration and Electoral Office,1,1,Electoral Services,,479.9,1114.3,918.7,554.2
166,Government Flying Service,1,1,Government Flying Service,,1023,577.6,535.8,776.3
168,Hong Kong Observatory,1,1,Weather Services,,241.9,250.3,255.2,258.9
168,Hong Kong Observatory,0,2,Radiation Monitoring and Assessment,,27.9,29.4,30.1,32.1
168,Hong Kong Observatory,0,3,Time Standard and Geophysical Services,,11.7,12.6,12.8,12.1
169,Secretariat- Commissioner on Interception of Communications and Surveillance,1,1,Compliance with Interception and Surveillance Legislation,,20.4,20.1,19.2,21.2
170,Social Welfare Department,1,1,Family and Child Welfare,Government sector,1034,1081.7,1088,1106
170,Social Welfare Department,1,1,Family and Child Welfare,Subvented sector,1730.3,1981.5,2095.5,2338.9
170,Social Welfare Department,0,2,Social Security,Government sector,45080,43164.2,45706.2,52108.3
170,Social Welfare Department,0,2,Social Security,Subvented sector,0.6,0.6,0.7,0.7
170,Social Welfare Department,0,3,Services for The Elderly,Government sector,238.8,262.4,267.1,307.4
170,Social Welfare Department,0,3,Services for The Elderly,Subvented/private sectors,6426.5,6982.4,6864.5,7343.6
170,Social Welfare Department,0,4,Rehabilitation and Medical Social Services,Government sector,585.2,594.3,622.3,668.5
