,,Sub-head (Code),Approved projects,"Approved project estimate
$¡¦000","Actual expenditure to 31.3.2017
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Security,Law and Order¡XCorrectional services,3076LC,Redevelopment of Tai Lam Centre for Women,946600,752379,15000,3400
Security,Law and Order¡XJudiciary,3031LJ,West Kowloon Law Courts Building,2723100,2080752,18000,3000
Security,Law and Order¡XPolice,3237LP,Kowloon East Regional Headquarters and Operational Base-cum-Ngau Tau Kok Divisional Police Station,3186000,218130,366800,901100
Security,Law and Order¡XPolice,3277LP,Reprovisioning of Yau Ma Tei Police Station,982900,757029,1100,200
Security,Public Safety¡XAmbulance services,3037BA,"Construction of an ambulance depot at Choi Shun Street, Sheung Shui",174500,135076,4900,500
Security,Public Safety¡XFire services,3173BF,Redevelopment of Fire Services Training School,3562500,2959569,60200,20000
Security,Quarters¡XInternal security,3062JA,"Redevelopment of disciplined services quarters in Fu Tei, Tuen Mun",413400,291500,2300,700
Security,Quarters¡XInternal security,3063JA,"Construction of staff quarters for Correctional Services Department at Tin Wan, Aberdeen",256100,2227,31000,83000
Security,Quarters¡XInternal security,3064JA,"Construction of disciplined services quarters for the Fire Services Department at Pak Shing Kok, Tseung Kwan O",Cat. B,0,0,52600
Security,Quarters¡XInternal security,3065JA,"Construction of rank and file quarters for Customs and Excise Department at Yau Yue Wan Village Road, Tseung Kwan O",604800,94111,140000,65000
Security,Quarters¡XInternal security,3066JA,"Construction of staff quarters for Immigration Department at Heng Lam Street, Kowloon",391000,47388,110000,38000
Security,Quarters¡XInternal security,3067JA,Construction of departmental quarters for Customs and Excise Department at Tseung Kwan O Area 123 (Po Lam Road),Cat. B,0,0,25000
Security,Quarters¡XInternal security,3068JA,"Construction of departmental quarters for Customs and Excise Department at No. 57 Sheung Fung Street, Tsz Wan Shan",Cat. B,0,0,20000
Security,Quarters¡XInternal security,3069JA,"Redevelopment of Kwun Tong staff quarters at Tseung Kwan O Road, Kowloon",1511300,278288,230000,350000
Security,Quarters¡XInternal security,3070JA,"Redevelopment of Junior Police Officers Married Quarters at Fan Garden, Fanling",2827900,0,105000,450000
Security,Support¡XBoundary facilities (other than road works),3012GB,Construction of a secondary boundary fence and new sections of primary boundary fence and boundary patrol road¡Xphase 2,285000,216844,5000,5000
Security,Support¡XBoundary facilities (other than road works),3013GB,Liantang/Heung Yuen Wai Boundary Control Point and associated works¡Xconstruction of boundary control point buildings and associated facilities,8811900,2270506,2050000,2579000
Security,Support¡XBoundary facilities (other than road works),3020GB,Liantang/Heung Yuen Wai Boundary Control Point and associated works¡XBoundary Control Point buildings and the associated facilities¡Xpre-construction consultancy services,180000,137142,1500,500
Health,Health¡XHospitals,3070MM,"Redevelopment of Queen Mary Hospital, phase 1¡Xmain works",Cat. B,0,0,420000
Health,Health¡XHospitals,3086MM,Extension of Operating Theatre Block for Tuen Mun Hospital¡Xmain works,2729700,0,21000,220800
Health,Health¡XHospitals,3089MM,Redevelopment of Kwai Chung Hospital¡Xphase 1,750800,98901,350000,109000
Health,Health¡XHospitals,3090MM,Extension of Operating Theatre Block for Tuen Mun Hospital¡Xsubstructure and utilities diversion works,167200,32500,62800,28100
Health,Health¡XHospitals,3092MM,New Acute Hospital at Kai Tak Development Area¡Xpreparatory works,769300,0,42300,168100
Health,Health¡XHospitals,3093MM,"Redevelopment of Prince of Wales Hospital, phase 2 (stage 1)¡Xpreparatory works",1231100,0,56100,207400
Health,Health¡XHospitals,3094MM,"New Acute Hospital at Kai Tak Development Area¡Xfoundation, excavation and lateral support, and basement excavation works",Cat. B,0,0,283600
Miscellaneous,Fitting out¡XOthers,3401IO,Fitting-out works for government facilities associated with midfield expansion project at Hong Kong International Airport,256500,126844,16000,15000
Miscellaneous,Government Offices¡XIntra-governmental services,3074KA,Construction of West Kowloon Government Offices,4742500,791487,940000,950000
Miscellaneous,Government Offices¡XIntra-governmental services,3112KA,Relocation of the Court of Final Appeal to No. 8 Jackson Road,463600,307083,5000,10000
Miscellaneous,Government Offices¡XIntra-governmental services,3115KA,Relocation of part of the offices of the Department of Justice to the Main and East Wings of the former Central Government Offices,796000,591301,8000,10000
Miscellaneous,Government Offices¡XIntra-governmental services,3117KA,Relocation of New Territories West Regional Office and Water Resources Education Centre of Water Supplies Department to Tin Shui Wai,823400,242764,220000,110000
Miscellaneous,Government Offices¡XIntra-governmental services,3118KA,Renovation works for the West Wing of the former Central Government Offices for office use by the Department of Justice and law-related organisations,1078900,50635,250000,230000
Miscellaneous,Government Offices¡XIntra-governmental services,3120KA,Building a government data centre complex¡Xconstruction,Cat. B,0,0,80000
Miscellaneous,Government Offices¡XIntra-governmental services,3121KA,Joint-user Government Office Building in Cheung Sha Wan¡Xconstruction,Cat. B,0,0,150000
Miscellaneous,Government Offices¡XIntra-governmental services,3122KA,Inland Revenue Tower in Kai Tak Development,Cat. B,0,0,126200
Miscellaneous,Government Offices¡XIntra-governmental services,3123KA,Conversion of the former French Mission Building for accommodation use by law-related organisations and related purposes,234200,0,1000,30000
Miscellaneous,Government Offices¡XIntra-governmental services,3126KA,Building a government data centre complex¡Xpre-construction consultancy services,52600,15608,10500,1000
Miscellaneous,Government Offices¡XIntra-governmental services,3128KA,Joint-user Government Office Building in Cheung Sha Wan¡X pre-construction consultancy services and site investigation works,103200,7132,21000,2000
Miscellaneous,Support¡XOthers,3182GK,"Reprovisioning of Food and Environmental Hygiene Department Sai Yee Street Environmental Hygiene offices-cum-vehicle depot at Yen Ming Road, West Kowloon Reclamation Area",1549900,110164,217000,220000
Miscellaneous,Support¡XOthers,3183GK,"Reprovisioning of Shanghai Street refuse collection point and street sleepers¡¦ services units to the site on Hau Cheung Street, Yau Ma Tei for the phase II development of the Yau Ma Tei Theatre project",223300,0,0,8400
Miscellaneous,Support¡XOthers,3185GK,Reprovisioning of Transport Department¡¦s vehicle examination centres at Tsing Yi,2862700,0,0,151600
Block allocations,,3004GX,Refurbishment of government buildings for items in Category D of the Public Works Programme,0,0,1969910,2014930
Block allocations,,3100GX,"Project feasibility studies, minor investigations and consultants¡¦ fees for items in Category D of the Public Works Programme",0,0,181640,135570
Block allocations,,3101GX,Minor building works for items in Category D of the Public Works Programme,0,0,766440,888480
"Works completed, cancelled or curtailed",,,,0,0,14269,0
