Head (Code),Head,Sub-head (Code),Sub-head,"Item (Code)
","Ambit
","Approved commitment
$¡¦000","Accumulated expenditure to 31.3.2017
$¡¦000","Revised estimated expenditure for 2017¡V18
$¡¦000","Balance
$¡¦000"
341,Non-recurrent Grants,150,Christian Family Service Centre,069,"Renovating, furnishing and equipping for Yam Pak Charitable Foundation King Lam Home for the Elderly in Tseung Kwan O",15330,0,0,15330
341,Non-recurrent Grants,150,Christian Family Service Centre,070,Replacing a 14-seater liquefied petroleum gas private light bus with a 14-seater liquefied petroleum gas private light bus for Choi Ying Day Care Centre for the Elderly,945,0,0,945
341,Non-recurrent Grants,150,Christian Family Service Centre,072,Purchasing two centre buses for a day activity centre cum hostel for severely mentally handicapped persons and a community rehabilitation day centre,2010,0,0,2010
341,Non-recurrent Grants,150,Christian Family Service Centre,073,Renovating Tsui Lam Halfway House in Tseung Kwan O,6211,0,42,6169
341,Non-recurrent Grants,150,Christian Family Service Centre,074,Purchasing a vehicle for Kwun Tong Integrated Home Care Service,1131,0,0,1131
341,Non-recurrent Grants,150,Christian Family Service Centre,075,Fitting out for two small group homes for mildly mentally handicapped children in Wong Tai Sin,5715,0,0,5715
341,Non-recurrent Grants,150,Christian Family Service Centre,076,Furnishing and equipping for setting up two new small group homes for mildly mentally handicapped children in Wong Tai Sin,753,0,0,753
341,Non-recurrent Grants,150,Christian Family Service Centre,077,Replacing a vehicle for Christian Family Service Centre Yam Pak Charitable Foundation King Lam Home for the Elderly,1118,0,0,1118
341,Non-recurrent Grants,158,Chuk Lam Ming Tong Limited,006,Upgrading the provision of hospital beds in Chuk Lam Ming Tong Care and Attention Home for the Aged,676,629,0,47
341,Non-recurrent Grants,162,Chung Sing Benevolent Society,004,"Renovating, furnishing and equipping for Lau Mui Hin Home for the Elderly in Tsing Yi",16082,0,86,15996
341,Non-recurrent Grants,162,Chung Sing Benevolent Society,005,Purchase of vehicles for Choy Yue Fai Day Care Centre for the Elderly,1602,0,0,1602
341,Non-recurrent Grants,162,Chung Sing Benevolent Society,006,Replacing a 14-seater diesel private light bus with a 14-seater liquefied petroleum gas private light bus for Lau Mui Hin Home for the Elderly,821,0,0,821
341,Non-recurrent Grants,162,Chung Sing Benevolent Society,007,Replacing two 12-seater diesel private light buses with two 14-seater liquefied petroleum gas private light buses for Tin Ka Ping Day Care Centre for the Elderly,1602,0,0,1602
341,Non-recurrent Grants,166,Chung Shak Hei (Cheung Chau) Home for the Aged Limited,006,Renovating Chung Shak Hei (Cheung Chau) Home for the Aged,1481,1315,0,166
341,Non-recurrent Grants,170,Church of Christ in China,006,Replacing a vehicle for Tuen Mun Special Child Care Centre,819,0,0,819
341,Non-recurrent Grants,172,The Mother Superior of the Congregation of Our Lady of Charity of the Good Shepherd of Angers at Hong Kong,011,Meeting the cost of ground investigation works for Choi Wan Hostel,515,0,184,331
341,Non-recurrent Grants,213,E.T. Investment Limited,003,"Renovating, furnishing and equipping for Oasis Nursing Home in Tsz Wan Shan",1573,662,492,419
341,Non-recurrent Grants,213,E.T. Investment Limited,004,Fitting out for a residential care home for the elderly cum day care unit in Tsuen Wan,33322,0,29657,3665
341,Non-recurrent Grants,213,E.T. Investment Limited,005,Furnishing and equipping for a new residential care home for the elderly cum day care unit in Tsuen Wan,4610,0,3197,1413
341,Non-recurrent Grants,218,"ELCHK, Social Service Head Office",046,Fitting out for additional premises of Ma On Shan District Elderly Community Centre cum Day Care Unit in Sha Tin,3419,3026,0,393
341,Non-recurrent Grants,218,"ELCHK, Social Service Head Office",050,Fitting out for Enlighten Centre in Tin Shui Wai,2162,1897,161,104
341,Non-recurrent Grants,218,"ELCHK, Social Service Head Office",059,Furnishing and equipping for the reprovisioning of Kwai Chung District Support Centre for persons with disabilities,553,0,0,553
341,Non-recurrent Grants,218,"ELCHK, Social Service Head Office",060,Fitting out for the reprovisioning of Kwai Chung District Support Centre for persons with disabilities,6141,0,1497,4644
341,Non-recurrent Grants,218,"ELCHK, Social Service Head Office",062,Purchasing a centre bus for a day activity centre cum hostel for severely mentally handicapped persons,1005,0,0,1005
341,Non-recurrent Grants,218,"ELCHK, Social Service Head Office",063,Replacing a vehicle for Tin Shui Wai District Outreaching Social Work Team,457,0,0,457
341,Non-recurrent Grants,221,University of Hong Kong,007,Implementing a three-year project on enhancement of the infrastructure of long-term care in Hong Kong,24676,18507,0,6169
341,Non-recurrent Grants,221,University of Hong Kong,008,Evaluation study of the second phase of the pilot scheme on community care service voucher for the elderly,1430,0,286,1144
341,Non-recurrent Grants,221,University of Hong Kong,009,Implementing a two-year experimental project for a new standardised case need assessment mechanism for elderly services,8778,0,0,8778
341,Non-recurrent Grants,222,Evangelical Gospel Lutheran Church Limited,001,Meeting the cost of a technical feasibility study for the proposed development of a church cum residential care home for the elderly in Yuen Long,2530,0,0,2530
341,Non-recurrent Grants,223,Ever Kind Asia Limited,001,Furnishing and equipping for Altru Nursing Home in Kwun Tong,2181,0,0,2181
341,Non-recurrent Grants,248,Glorious Praise Fellowship (Hong Kong) Limited,001,"Meeting the cost of rectification and improvement works, and furnishing and equipping for a drug dependent persons treatment and rehabilitation centre in Siu Lam",10468,176,0,10292
341,Non-recurrent Grants,265,Home Affairs Department,002,"""Celebrations for All"" Project for the 20th Anniversary of the Establishment of the Hong Kong Special Administrative Region",80000,24181,35052,20767
341,Non-recurrent Grants,268,Haven of Hope Christian Service,026,Fitting out for a district support centre for persons with disabilities in Tseung Kwan O,3626,3154,0,472
341,Non-recurrent Grants,268,Haven of Hope Christian Service,033,Renovating Sheung Tak Centre in Tseung Kwan O,2664,2194,0,470
341,Non-recurrent Grants,268,Haven of Hope Christian Service,034,Carrying out air-conditioning works for Haven of Hope Nursing Home in Tseung Kwan O,1890,0,0,1890
341,Non-recurrent Grants,268,Haven of Hope Christian Service,035,Renovating Hau Tak Centre in Tseung Kwan O,2601,20,0,2581
341,Non-recurrent Grants,268,Haven of Hope Christian Service,036,Fitting out for a day care centre for the elderly in Tseung Kwan O,5739,4222,0,1517
341,Non-recurrent Grants,268,Haven of Hope Christian Service,039,Purchasing a 16-seater liquefied petroleum gas private light bus with modifications and essential equipment for Enhanced Home and Community Care Services Team in Wong Tai Sin and Sai Kung Cluster (2),1180,914,124,142
341,Non-recurrent Grants,268,Haven of Hope Christian Service,042,Extension of Woo Ping Care and Attention Home in Tseung Kwan O,63191,0,0,63191
341,Non-recurrent Grants,268,Haven of Hope Christian Service,043,Improvement works for Haven of Hope Nursing Home in Tseung Kwan O,2374,0,0,2374
341,Non-recurrent Grants,268,Haven of Hope Christian Service,044,Meeting the cost of decanting works and removal costs for Woo Ping Care and Attention Home in Tseung Kwan O,1153,0,0,1153
341,Non-recurrent Grants,268,Haven of Hope Christian Service,046,Purchasing four centre buses for three day activity centres cum hostels for severely mentally handicapped persons and a community rehabilitation day centre,4019,0,0,4019
341,Non-recurrent Grants,268,Haven of Hope Christian Service,047,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Ming Tak Day Activity Centre and Hostel,8788,0,0,8788
341,Non-recurrent Grants,268,Haven of Hope Christian Service,048,Undertaking fire safety/building safety rectification measures for residential care homes for persons with disabilities for Tsui Lam Hostel,7898,0,0,7898
341,Non-recurrent Grants,268,Haven of Hope Christian Service,049,Purchasing a vehicle for Haven of Hope Tsui Lam Hostel,1126,0,0,1126
341,Non-recurrent Grants,268,Haven of Hope Christian Service,050,Furnishing and equipping for Haven of Hope Nursing Home in Tseung Kwan O,1837,0,0,1837
341,Non-recurrent Grants,268,Haven of Hope Christian Service,051,The conversion of ex-Sai Kung Central Primary School into a social services complex for a 100-place residential care home for the elderly cum 30-place day care unit and a 60-place day activity centre cum 60-place hostel for severely mentally handicapped persons,86410,0,0,86410
341,Non-recurrent Grants,270,Heep Hong Society,052,"Fitting out for reprovisioning the Portland Street Early Education Training Centre, Tai Hang Tung Parents Resource Centre and Healthy Kids Centre in Mong Kok West",6071,5560,0,511
341,Non-recurrent Grants,270,Heep Hong Society,065,"Fitting out for a special child care centre cum early education and training centre at Yu Ming Court, Tseung Kwan O",3752,3494,0,258
341,Non-recurrent Grants,270,Heep Hong Society,072,Fitting out for expanding Heep Hong Society Wan Tsui Centre in Chai Wan,1880,1525,262,93
341,Non-recurrent Grants,270,Heep Hong Society,078,Fitting out for reprovisioning Pak Tin Early Education and Training Centre in Sham Shui Po,4030,3170,0,860
341,Non-recurrent Grants,270,Heep Hong Society,080,Fitting out for reprovisioning Heep Hong Society Catherine Lo Centre in Pokfulam,2369,1499,0,870
341,Non-recurrent Grants,270,Heep Hong Society,082,Fitting out for an early education and training centre in Kwun Tong,3004,2713,0,291
341,Non-recurrent Grants,270,Heep Hong Society,084,Redeveloping Heep Hong Society Catherine Lo Centre in Pokfulam,130645,63732,49126,17787
341,Non-recurrent Grants,270,Heep Hong Society,085,Furnishing and equipping for the expansion of Wan Tsui Centre in Chai Wan,2240,1985,0,255
341,Non-recurrent Grants,270,Heep Hong Society,086,Set-up costs for Heep Hong Society for the provision of new training places under the training subsidy programme,1750,243,1504,3
341,Non-recurrent Grants,270,Heep Hong Society,089,Renovating Tai Wo Hau Centre in Tsuen Wan,2306,14,1538,754
341,Non-recurrent Grants,270,Heep Hong Society,091,Renovating Shui Pin Wai Centre in Yuen Long,3197,15,2890,292
341,Non-recurrent Grants,270,Heep Hong Society,093,Replacing two vehicles for Fu Cheong Centre,1769,0,70,1699
341,Non-recurrent Grants,270,Heep Hong Society,094,Purchasing a vehicle for Heep Hong Society Catherine Lo Centre,2022,0,0,2022
341,Non-recurrent Grants,270,Heep Hong Society,095,Furnishing and equipping for reprovisioning and expansion of special child care centre at the redevelopment of Heep Hong Society Catherine Lo Centre,2474,80,24,2370
341,Non-recurrent Grants,270,Heep Hong Society,096,Furnishing and equipping for an early education and training centre at the redevelopment of Heep Hong Society Catherine Lo Centre,1922,0,55,1867
341,Non-recurrent Grants,270,Heep Hong Society,097,Replacing a vehicle for Alice Louey Centre,1873,0,0,1873
341,Non-recurrent Grants,270,Heep Hong Society,098,Replacing a vehicle for Catherine Lo Centre,1882,0,0,1882
341,Non-recurrent Grants,270,Heep Hong Society,099,Furnishing and equipping for the provision of new training places under the training subsidy programme for Heep Hong Society,1989,0,0,1989
341,Non-recurrent Grants,276,Helping Hand,005,"Constructing, fitting out, furnishing and equipping for a new residential care home for the elderly at Cheung Muk Tau Holiday Centre for the Elderly in Sai Kung",82198,71813,2030,8355
341,Non-recurrent Grants,276,Helping Hand,010,"Renovating, furnishing and equipping for in-situ expansion of Cheung Muk Tau Holiday Centre for the Elderly¡XDay Care Unit in Sai Kung",2706,2628,0,78
341,Non-recurrent Grants,276,Helping Hand,011,Reinstatement works for the former Chak On Jockey Club Care Home in Sham Shui Po,904,776,0,128
341,Non-recurrent Grants,276,Helping Hand,015,"Renovating, furnishing and equipping for Cheung Muk Tau Holiday Centre for the Elderly",18619,218,0,18401
341,Non-recurrent Grants,276,Helping Hand,016,Replacing a vehicle for Father Sean Burke Care Home for the Elderly,1085,0,0,1085
341,Non-recurrent Grants,280,Heung Hoi Ching Kok Lin Association,011,Renovating Buddhist Li Ka Shing Care and Attention Home for the Elderly,5844,4905,0,939
341,Non-recurrent Grants,280,Heung Hoi Ching Kok Lin Association,019,Renovating Buddhist Po Ching Care and Attention Home for the Aged Women in Fanling,5217,4581,276,360
341,Non-recurrent Grants,280,Heung Hoi Ching Kok Lin Association,031,Technical feasibility study for redevelopment of Heung Hoi Ching Kok Lin Association Buddhist Po Ching Care and Attention Home for the Aged Women in Fanling,2992,0,0,2992
341,Non-recurrent Grants,280,Heung Hoi Ching Kok Lin Association,032,Renovating and purchasing furniture and equipment for converting home for aged places into long term care places for Buddhist Po Ching Home for the Aged Women in Fanling,35208,0,0,35208
341,Non-recurrent Grants,288,Hong Kong & Kowloon Kai-fong Women¡¦s Association Limited,005,"Renovating, furnishing and equipping for Ting Sun Hui Chiu Nursery at Mei Lam Estate",706,502,0,204
341,Non-recurrent Grants,290,Hong Kong & Macau Lutheran Church Social Service Limited,006,"Renovating, furnishing and equipping for Hong Kong and Macau Lutheran Church Wai Kei Hostel in Ap Lei Chau",9669,0,7237,2432
341,Non-recurrent Grants,296,Hong Kong Association of Gerontology,002,Implementing a quality improvement project for residential care homes for the elderly,19983,4996,7494,7493
341,Non-recurrent Grants,300,Hong Chi Association,052,Renovating the Jockey Club Hong Chi Sun Chui Workshop cum Hostel in Sha Tin,6719,5149,0,1570
341,Non-recurrent Grants,300,Hong Chi Association,055,"Fitting out for a district support centre for persons with disabilities at Shun Lee Estate, Kwun Tong",3871,3639,0,232
341,Non-recurrent Grants,300,Hong Chi Association,057,Conversion works and furnishing and equipping for in-situ expansion of Hong Chi Lei Muk Shue Centre (Hostel for Severely Mentally Handicapped Part) in Tsuen Wan,3551,3169,0,382
341,Non-recurrent Grants,300,Hong Chi Association,062,Renovating Jockey Club Hong Chi Siu Sai Wan Workshop in Chai Wan,4555,4146,10,399
341,Non-recurrent Grants,300,Hong Chi Association,063,Renovating Hong Chi Shui Choi Centre and Hong Chi Shui Choi Hostel in Tin Shui Wai,8212,6987,0,1225
341,Non-recurrent Grants,300,Hong Chi Association,068,Renovating Hong Chi Fu Heng Hostel in Tai Po,6827,6428,0,399
341,Non-recurrent Grants,300,Hong Chi Association,072,Undertaking fire safety/building safety rectification measures for Hong Chi Fu Shin Hostel,637,507,0,130
341,Non-recurrent Grants,300,Hong Chi Association,084,Renovating the Hongkong Bank Foundation Hong Chi Tung Tau Hostel in Wong Tai Sin,6351,0,0,6351
341,Non-recurrent Grants,300,Hong Chi Association,085,Furnishing and equipping for a special child care centre cum early education training centre in Tai Po,1736,0,1735,1
341,Non-recurrent Grants,300,Hong Chi Association,086,Fitting out for a special child care centre cum early education training centre in Tai Po,4714,2647,1265,802
341,Non-recurrent Grants,300,Hong Chi Association,087,Furnishing and equipping for the reprovisioning of Hong Chi District Support Centre for Persons with Disabilities in Sheung Shui,555,0,554,1
341,Non-recurrent Grants,300,Hong Chi Association,089,Fitting out for reprovisioning Hong Chi District Support Centre for Persons with Disabilities in Sheung Shui,5935,4627,0,1308
341,Non-recurrent Grants,300,Hong Chi Association,090,Fitting out for Hong Chi Wan Tau Tong Day Activity Centre in Tai Po,3883,0,0,3883
341,Non-recurrent Grants,300,Hong Chi Association,091,Furnishing and equipping for Hong Chi Wan Tau Tong Day Activity Centre in Tai Po,1648,0,0,1648
341,Non-recurrent Grants,300,Hong Chi Association,093,Purchasing five centre buses for five day activity centres cum hostels for severely mentally handicapped persons,5023,0,0,5023
341,Non-recurrent Grants,300,Hong Chi Association,094,Fitting out for two new small group homes for mildly mentally handicapped children in Sha Tin,4005,0,0,4005
341,Non-recurrent Grants,300,Hong Chi Association,095,Furnishing and equipping for setting up two new small group homes for mildly mentally handicapped children in Sha Tin,662,0,0,662
341,Non-recurrent Grants,300,Hong Chi Association,096,Purchasing a vehicle for Hong Chi Association Hong Chi Pinehill No. 3 School,1134,0,0,1134
341,Non-recurrent Grants,300,Hong Chi Association,097,Furnishing and equipping for setting up a new special child care centre at Pinehill Pre-school Centre,3447,0,0,3447
341,Non-recurrent Grants,300,Hong Chi Association,098,Furnishing and equipping for reprovisioning and expansion of an early education and training centre at Pinehill Pre-school Centre,644,0,0,644
341,Non-recurrent Grants,300,Hong Chi Association,099,Furnishing and equipping for reprovisioning and expansion of a residential special child care centre at Pinehill Pre-school Centre,1687,0,0,1687
341,Non-recurrent Grants,300,Hong Chi Association,100,Furnishing and equipping for reprovisioning and expansion of a small group home for mildly mentally handicapped children at Hong Chi Children Home,2196,0,0,2196
341,Non-recurrent Grants,300,Hong Chi Association,101,Replacing a vehicle for Hong Chi Lei Muk Shue Centre,1086,0,0,1086
341,Non-recurrent Grants,300,Hong Chi Association,102,Purchasing a vehicle for Rotary Club of Hong Kong Island West Hong Chi Morninghope School,878,0,0,878
341,Non-recurrent Grants,300,Hong Chi Association,104,Replacing a vehicle for Hong Chi Association Hong Chi Pinehill School,703,0,0,703
341,Non-recurrent Grants,310,The Hong Kong Catholic Marriage Advisory Council,006,Fitting out for a sub-base for Grace and Joy Integrated Family Service Centre in Kennedy Town,1258,937,0,321
341,Non-recurrent Grants,316,The Hong Kong Bodhi Siksa Society Limited,006,Renovating the Hong Kong Bodhi Siksa Society Limited Care and Attention Home for the Aged in Tsuen Wan,4161,1695,1592,874
341,Non-recurrent Grants,320,The Hong Kong Buddhist Association,004,"Renovating, furnishing and equipping for Buddhist Sum Ma Shui Ying Care and Attention Home for the Elderly in Kwun Tong",14559,13641,4,914
