"Head","Account","Subhead (Code)","Subhead","Item (Code)","Ambit","Approved commitment
$'000","Accumulated expenditure
to 31.3.2017
$'000","Revised estimated expenditure
for 2017-18
$'000","Balance
$'000"
"63","Operating Account","700","General non-recurrent","846","Signature Project Scheme (Sai Kung District) - Non-works components relating to Construction of the Tseung Kwan O Heritage Hiking Trail and the Heritage Information Centre",4640,944,1809,1887
"63","Operating Account","700","General non-recurrent","847","Signature Project Scheme (Sai Kung District) - Non-works components relating to Reconstruction of the Sharp Island Pier",1160,236,453,471
"63","Operating Account","700","General non-recurrent","856","Signature Project Scheme (Wong Tai Sin District) - Non-works components relating to Enhancement of Leisure Facilities of Morse Park",5990,2893,1972,1125
"63","Operating Account","700","General non-recurrent","858","Signature Project Scheme (North District) - Non-works components relating to Improvement of Trails and Provision of Ancillary Facilities at Wu Tip Shan and Wa Mei Shan in Fanling",5117,1096,644,3377
"63","Operating Account","700","General non-recurrent","865","Signature Project Scheme (Sham Shui Po District) - Non-works components relating to Mei Foo Neighbourhood Activity Centre",5050,1239,1456,2355
"63","Operating Account","700","General non-recurrent","866","Signature Project Scheme (North District) - Non-works components relating to Improvement of Trails and Provision of Facilities in Sha Tau Kok",5108,1004,644,3460
"63","Operating Account","700","General non-recurrent","867","Signature Project Scheme (Sha Tin District) - Non-works components relating to Revitalisation of Shing Mun River Promenade near Sha Tin Town Centre",3622,872,1308,1442
"63","Operating Account","700","General non-recurrent","868","Signature Project Scheme (Islands District) - Non-works components relating to Improvement Works at Silvermine Bay Beach, Mui Wo, Lantau Island",3450,1054,950,1446
"63","Operating Account","700","General non-recurrent","869","Signature Project Scheme (Islands District) - Non-works components relating to Yung Shue Wan Library cum Heritage and Cultural Showroom, Lamma Island",1550,888,550,112
"63","Operating Account","700","General non-recurrent","870","Provision for Duty Visits for District Council Members (2016-2019 Term)",4740,33,1382,3325
"63","Operating Account","700","General non-recurrent","892","Enhancing Self-Reliance Through District Partnership Programme (2016-17 to 2019-20)",150000,2893,9808,137299
"70","Capital Account","603","Plant, vehicles and equipment","801","Replacement of Immigration Launch No. 4",19170,0,600,18570
"70","Capital Account","603","Plant, vehicles and equipment","827","Replacement of Immigration Launch No. 6",12580,963,7988,3629
"72","Operating Account","700","General non-recurrent","801","""Youth Integrity Fest"" programme",4000,0,1000,3000
"72","Operating Account","700","General non-recurrent","803","Production of web learning package for civil servants",1000,0,0,1000
"72","Operating Account","700","General non-recurrent","804","Production of multi-media publicity package on anti-corruption Announcements in the Public Interest",2000,0,0,2000
"90","Operating Account","700","General non-recurrent","802","Additional provision for Work Incentive Transport Subsidy (WITS) Scheme recipients 2018",53000,0,0,53000
"90","Operating Account","700","General non-recurrent","841","WITS Scheme",4805000,1712975,294700,2797325
"92","Operating Account","700","General non-recurrent","512","Hire of service for translation and Chinese typing",5100,3296,150,1654
"92","Operating Account","700","General non-recurrent","513","Conducting mock trials in the Mainland",2400,1973,166,261
"92","Operating Account","700","General non-recurrent","514","Promotion of rule of law and Hong Kong's legal system",8600,6659,50,1891
"92","Operating Account","700","General non-recurrent","519","Development of Mainland-related legal services in Hong Kong",4335,2470,280,1585
"95","Operating Account","700","General non-recurrent","805","Revamping of permanent exhibition of the Hong Kong Railway Museum",14950,0,4600,10350
"95","Operating Account","700","General non-recurrent","835","Organising an exhibition on Bruce Lee",24850,24011,549,290
"95","Operating Account","700","General non-recurrent","836","Renewal of permanent exhibitions of the Hong Kong Science Museum",76000,3771,2078,70151
"95","Operating Account","700","General non-recurrent","837","Renewal of permanent exhibition and Historical Trail of the Hong Kong Museum of Coastal Defence",30800,474,1500,28826
"95","Operating Account","700","General non-recurrent","838","Renewal of permanent exhibition of the Hong Kong Museum of History",466000,4015,2116,459869
"95","Operating Account","700","General non-recurrent","839","Renewal of permanent exhibitions of the Hong Kong Heritage Museum",43500,9292,2660,31548
"95","Operating Account","700","General non-recurrent","841","Enriching collections of Hong Kong Museum of Art by accepting two major donations",39400,0,0,39400
"95","Operating Account","700","General non-recurrent","851","Renewal of the Telecommunications Gallery of the Hong Kong Science Museum",40000,0,0,40000
"95","Capital Account","600","Works","049","Restoration of Tat Tak Communal Hall",9800,7048,2000,752
"95","Capital Account","600","Works","462","Restoration of Yan Tun Kong Study Hall",6980,5350,800,830
"95","Capital Account","600","Works","802","Structural repairs to the Enclosing Walls & Corner Watch Towers of Kun Lung Wai, Lung Yeuk Tau, Fanling, New Territories",9850,0,1000,8850
"95","Capital Account","600","Works","803","Structural repairs to Man Lun Fung Ancestral Hall, San Tin, Yuen Long, New Territories",9000,38,0,8962
"95","Capital Account","600","Works","808","Restoration of Man Mo Temple Compound on Hollywood Road, Sheung Wan",9955,1712,500,7743
"95","Capital Account","600","Works","813","Restoration of the former residence of Ip Ting-sz, Sha Tau Kok",7670,4313,400,2957
"95","Capital Account","600","Works","843","Structural repairs to Tang Chung Ling Ancestral Hall in Lung Yeuk Tau, Fanling, New Territories",6435,1008,1362,4065
"95","Capital Account","600","Works","879","Structural repairs to Lo Wai, Lung Yeuk Tau, Fanling, New Territories",9970,4438,667,4865
"95","Capital Account","600","Works","883","Structural repairs to Liu Man Shek Tong Ancestral Hall, Sheung Shui, New Territories",9870,1847,380,7643
"95","Capital Account","600","Works","887","Major repairs and restoration to Tung Wah Museum, Waterloo Road, Kowloon",4895,2295,324,2276
"95","Capital Account","600","Works","893","Restoration of Fat Tat Tong in Ha Wo Hang, Sha Tau Kok, New Territories",7953,1208,10,6735
"95","Capital Account","600","Works","898","External restoration and redecorations to the Helena May, Garden Road, Central",6200,5595,150,455
"95","Capital Account","603","Plant, vehicles and equipment","801","Replacement of planetarium show production and projection system in Space Theatre of Hong Kong Space Museum",16500,0,680,15820
"95","Capital Account","603","Plant, vehicles and equipment","807","Replacement of chiller system at Tuen Mun Cultural Complex",33060,0,0,33060
"95","Capital Account","603","Plant, vehicles and equipment","831","Replacement of unit cooler system with automatic control at Cold Film Store on 1/F at Hong Kong Film Archive",20880,0,0,20880
"95","Capital Account","603","Plant, vehicles and equipment","832","Replacement of chillers and cooling tower system at Sha Tin Town Hall",22000,0,0,22000
"95","Capital Account","603","Plant, vehicles and equipment","840","Replacement of chiller system at R/F air conditioning plant room of Hong Kong Museum of History",40000,0,0,40000
"95","Capital Account","603","Plant, vehicles and equipment","859","Replacement of air conditioning system at Hong Kong Coliseum",27600,0,13800,13800
"95","Capital Account","603","Plant, vehicles and equipment","860","Replacement of CCTV system at Hong Kong Central Library",11182,0,231,10951
"95","Capital Account","603","Plant, vehicles and equipment","861","Replacement of high efficiency chiller (water-cooled centrifugal chiller No.1) at Sha Tin Town Hall",12860,0,200,12660
"95","Capital Account","603","Plant, vehicles and equipment","862","Replacement of chiller water plant at Ma On Shan Sports Centre cum Public Library",12000,0,150,11850
"95","Capital Account","677","Acquiring and commissioning artworks by local artists","827","Acquiring and commissioning artworks by local artists",50000,28171,8000,13829
"96","Operating Account","700","General non-recurrent","801","One-off setting up cost for the Hong Kong Economic and Trade Office in Jakarta ",9400,1140,3600,4660
"100","Operating Account","700","General non-recurrent","916","Subsidy for Installation of Automatic Identification System on Local Cargo Vessels",4673,0,64,4609
"100","Capital Account","603","Plant, vehicles and equipment","812","Replacement of four patrol launches",46400,6890,24900,14610
"100","Capital Account","603","Plant, vehicles and equipment","832","Replacement of hydrographic survey launch ""Hydro 2""",43500,437,0,43063
"100","Capital Account","603","Plant, vehicles and equipment","874","Replacement of patrol launch ""Marine 5""",14850,736,1170,12944
"100","Capital Account","603","Plant, vehicles and equipment","875","Replacement of patrol launch ""Marine 6""",14850,736,1170,12944
"100","Capital Account","603","Plant, vehicles and equipment","876","Replacement of patrol launch ""Marine 8""",14850,736,50,14064
"100","Capital Account","603","Plant, vehicles and equipment","893","Replacement of hydrographic survey launch ""Hydro 1""",13950,0,1110,12840
"106","Operating Account","824","Contribution to the tenth replenishment of the Asian Development Fund","816","Contribution to the tenth replenishment of the Asian Development Fund",260180,130805,38764,90611
"106","Operating Account","825","Contribution to the 11th replenishment of the Asian Development Fund","801","Contribution to the eleventh replenishment of the Asian Development Fund",137165,0,21814,115351
"112","Operating Account","700","General non-recurrent","540","Microfilming of archival records",540,312,20,208
"112","Operating Account","700","General non-recurrent","818","Briefing out excess work arising from the translation of the Official Record of Proceedings of Legislative Council (LegCo) and papers of LegCo committees",2190,0,0,2190
"112","Capital Account","872","Non-recurrent expenses reimbursements for Members of the Legislative Council","804","Setting up and information technology (IT) expenses reimbursements",26250,4500,5000,16750
"112","Capital Account","885","Legislative Council Commission","807","Replacement of parts/devices for the building systems in the LegCo Complex",1899,0,0,1899
"112","Capital Account","885","Legislative Council Commission","809","Purchase of archival boxes and supplies for preserving archival records of the LegCo Archives",360,302,12,46
"112","Capital Account","885","Legislative Council Commission","813","Replacement of the personal computer workstations",4290,0,0,4290
"112","Capital Account","885","Legislative Council Commission","814","Procurement of hardware and software for the development of the new e-Application and e-Appraisal Systems",1180,0,0,1180
"112","Capital Account","885","Legislative Council Commission","815","Replacement of the wireless communication devices",610,0,0,610
"112","Capital Account","885","Legislative Council Commission","816","Procurement of hardware and sofware for the development of the new Electronic Visitor Admission System",730,0,0,730
"112","Capital Account","885","Legislative Council Commission","817","Replacement of the LegCo vehicle LC1",900,0,0,900
"112","Capital Account","885","Legislative Council Commission","845","TV production equipment and light fixtures for the provision of extended simultaneous sign language interpretation service",1900,0,500,1400
"112","Capital Account","885","Legislative Council Commission","861","Integration and application of IT in the new LegCo Complex",99018,93313,4487,1218
"112","Capital Account","885","Legislative Council Commission","875","Re-design and enhancement of the education facilities in the LegCo Complex",1040,580,265,195
"112","Capital Account","885","Legislative Council Commission","877","Procurement of hardware, software and equipment for the existing Estate Management and Security Control System of the LegCo Complex",3000,1500,1208,292
"116","Operating Account","700","General non-recurrent","003","Pilot scheme to contract out cases of winding-up of companies",10000,8921,0,1079
"118","Operating Account","700","General non-recurrent","919","Sustainability Assessment for Hong Kong 2030+",5000,0,1941,3059
"118","Operating Account","700","General non-recurrent","922","Cross-boundary Travel Survey 2017",5800,0,2400,3400
"118","Operating Account","700","General non-recurrent","929","Feasibility Study on the Development of a Common Spatial Data Infrastructure - Built Environment Application Platform",9400,0,400,9000
"118","Operating Account","700","General non-recurrent","966","Planning and Design Study on the Redevelopment of Queensway Plaza, Admiralty - Feasibility Study",8060,6106,1660,294
"118","Operating Account","700","General non-recurrent","985","Strategic Environmental Assessment for Hong Kong 2030+",9000,2138,379,6483
"122","Capital Account","603","Plant, vehicles and equipment","487","Replacement of marine craft for Versatile Maritime Policing Response",345262,299176,554,45532
"122","Capital Account","603","Plant, vehicles and equipment","794","Replacement of six police launches",285760,271190,0,14570
"122","Capital Account","603","Plant, vehicles and equipment","859","Replacement of fast pursuit craft PV36 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","860","Replacement of fast pursuit craft PV37 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","877","Replacement of five high-speed interceptor craft for the Marine Region",126310,36,0,126274
"122","Capital Account","603","Plant, vehicles and equipment","894","Replacement of fast pursuit craft PV30 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","895","Replacement of fast pursuit craft PV31 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","896","Replacement of fast pursuit craft PV32 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","897","Replacement of fast pursuit craft PV33 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","898","Replacement of fast pursuit craft PV34 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","899","Replacement of fast pursuit craft PV35 for the Small Boat Division of the Marine Region",11820,0,0,11820
"122","Capital Account","603","Plant, vehicles and equipment","89L","Replacement of 18 police launches",658410,0,100,658310
"122","Capital Account","603","Plant, vehicles and equipment","89M","Acquisition of barge operating platform for the Marine Region",35762,0,100,35662
"122","Capital Account","603","Plant, vehicles and equipment","89U","Replacement of inshore patrol launch PL40 for the Marine Region",35556,0,0,35556
"122","Capital Account","603","Plant, vehicles and equipment","89V","Replacement of inshore patrol launch PL41 for the Marine Region",35556,0,0,35556
"122","Capital Account","603","Plant, vehicles and equipment","89W","Replacement of inshore patrol launch PL42 for the Marine Region",35556,0,0,35556
"122","Capital Account","603","Plant, vehicles and equipment","89X","Replacement of inshore patrol launch PL43 for the Marine Region",35556,0,0,35556
"122","Capital Account","603","Plant, vehicles and equipment","89Y","Replacement of inshore patrol launch PL44 for the Marine Region",35556,0,0,35556
"122","Capital Account","603","Plant, vehicles and equipment","89Z","Replacement of inshore patrol launch PL45 for the Marine Region",35556,0,0,35556
"122","Capital Account","603","Plant, vehicles and equipment","8A0","Replacement of police launch PL60 for the Marine Region",92427,0,20,92407
"122","Capital Account","603","Plant, vehicles and equipment","8A1","Replacement of police launch PL61 for the Marine Region",92427,0,20,92407
"122","Capital Account","603","Plant, vehicles and equipment","8A2","Replacement of police launch PL62 for the Marine Region",92427,0,20,92407
"122","Capital Account","603","Plant, vehicles and equipment","8A3","Replacement of police launch PL63 for the Marine Region",92428,0,20,92408
"122","Capital Account","603","Plant, vehicles and equipment","8A4","Replacement of police launch PL64 for the Marine Region",92428,0,20,92408
"122","Capital Account","603","Plant, vehicles and equipment","8A5","Replacement of police launch PL65 for the Marine Region",92428,0,20,92408
"122","Capital Account","603","Plant, vehicles and equipment","8A6","Acquisition of mobile response and command platform for the Marine Region",144385,0,22,144363
"122","Capital Account","603","Plant, vehicles and equipment","8A7","Replacement of high speed assault craft Y1 for the Special Duties Unit",52700,0,0,52700
"122","Capital Account","603","Plant, vehicles and equipment","8A8","Replacement of high speed assault craft Y2 for the Special Duties Unit",52700,0,0,52700
"122","Capital Account","603","Plant, vehicles and equipment","8A9","Replacement of high speed assault craft Y3 for the Special Duties Unit",52700,0,0,52700
"122","Capital Account","603","Plant, vehicles and equipment","8AA","Replacement of high speed assault craft Y4 for the Special Duties Unit",26300,0,0,26300
"122","Capital Account","603","Plant, vehicles and equipment","8AB","Replacement of high speed assault craft Y5 for the Special Duties Unit",26300,0,0,26300
"122","Capital Account","603","Plant, vehicles and equipment","8AC","Replacement of high speed assault craft Y6 for the Special Duties Unit",26300,0,0,26300
"135","Operating Account","700","General non-recurrent","801","Innovation and Technology Fund for Better Living",500000,0,2000,498000
"135","Operating Account","700","General non-recurrent","033","Managing for results at departmental level to support delivery of policy objectives",5000,4124,0,876
"135","Operating Account","700","General non-recurrent","829","Consultancy services on centralized approach for administering social benefits schemes",8000,7382,0,618
"137","Operating Account","700","General non-recurrent","052","Sustainable Development Fund",100000,54537,4500,40963
"138","Operating Account","700","General non-recurrent","801","Subsidy for property owners to participate in Smart Tender scheme",300000,0,20000,280000
"138","Operating Account","700","General non-recurrent","802","Operation Building Bright 2.0",3000000,0,0,3000000
"138","Operating Account","700","General non-recurrent","878","Building Maintenance Grant Scheme for Elderly Owners",1000000,730000,135000,135000
"140","Operating Account","700","General non-recurrent","802","Chinese Medicine Development Fund",500000,0,0,500000
"140","Operating Account","700","General non-recurrent","823","Health and Medical Research Fund",2915000,587767,185000,2142233
"140","Capital Account","85C","Prince Philip Dental Hospital","876","Replacement of air water separators of the Suction Pipe System at 3A and 3B clinics",3300,3092,0,208
"140","Capital Account","85C","Prince Philip Dental Hospital","891","Replacement of lift nos. 1 to 5 and installation of ascending car over speed protection devices for lift nos. 1 to 6",5500,4000,0,1500
"141","Operating Account","700","General non-recurrent","016","Community Investment and Inclusion Fund",300000,97876,47900,154224
"141","Operating Account","700","General non-recurrent","876","Child Development Fund",900000,217105,67570,615325
"144","Operating Account","700","General non-recurrent","806","One-off setting up cost for the Immigration Division under the Hong Kong Economic and Trade Office in Wuhan",2300,0,1537,763
"144","Operating Account","700","General non-recurrent","807","One-off setting up cost for the Liaison Units",7500,0,300,7200
"147","Operating Account","700","General non-recurrent","835","Supplementary electricity charges subsidy for eligible public housing tenants affected by redevelopment, major repair or improvement works",9000,6668,30,2302
"147","Operating Account","700","General non-recurrent","881","Electricity charges subsidy for eligible residential accounts",22300000,21626018,66000,607982
"148","Operating Account","700","General non-recurrent","801","Consultancy study for establishing a Risk-based Capital Regime",10000,0,0,10000
"148","Operating Account","700","General non-recurrent","802","Funding for promoting and facilitating the development of the financial services sector",500000,0,0,500000
"148","Operating Account","700","General non-recurrent","804","Provision to the Insurance Authority",200000,0,0,200000
"148","Operating Account","700","General non-recurrent","805","Contribution to the Asian Infrastructure Investment Bank Project Preparation Special Fund",78000,0,0,78000
