"Head","Account","Type","Sub-head (Code)","Sub-head","Reimbursements
$'000","Actual
expenditure
2016-17
$'000","Approved
estimate
2017-18
$'000","Revised
estimate
2017-18
$'000","Estimate
2018-19
$'000"
"45","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,30500,186697,32348,381395
"45","Capital Account","Plant, Equipment and Works","690","Town ambulances (block vote)",,85949,172975,105198,213314
"46","Operating Account","Recurrent","001","Salaries",,74466,83573,87860,90805
"46","Operating Account","Recurrent","006","Recoverable salaries and allowances (Companies Registry Trading Fund)",203000,,,,
"46","Operating Account","Recurrent","","Deduct reimbursement",-203000,,,,
"46","Operating Account","Recurrent","008","Recoverable salaries and allowances (Hong Kong Monetary Authority)",5870,,,,
"46","Operating Account","Recurrent","","Deduct reimbursement",-5870,,,,
"46","Operating Account","Recurrent","009","Recoverable salaries and allowances (Land Registry Trading Fund)",230163,,,,
"46","Operating Account","Recurrent","","Deduct reimbursement",-230163,,,,
"46","Operating Account","Recurrent","081","Recoverable salaries and allowances (Office of the Communications Authority Trading Fund)",239097,,,,
"46","Operating Account","Recurrent","","Deduct reimbursement",-239097,,,,
"46","Operating Account","Recurrent","082","Recoverable salaries and allowances (Post Office Trading Fund)",1866000,,,,
"46","Operating Account","Recurrent","","Deduct reimbursement",-1866000,,,,
"46","Operating Account","Recurrent","083","Recoverable salaries and allowances (Electrical and Mechanical Services Trading Fund)",1820115,,,,
"46","Operating Account","Recurrent","","Deduct reimbursement",-1820115,,,,
"46","Operating Account","Recurrent","084","Recoverable salaries and allowances (Legal Aid Services Council)",2888,,,,
"46","Operating Account","Recurrent","","Deduct reimbursement",-2888,,,,
"46","Operating Account","Recurrent","010","Recruiting expenses",,804,900,1030,1000
"46","Operating Account","Recurrent","011","Civil service examinations",,11063,11719,12331,11712
"46","Operating Account","Recurrent","013","Personal allowances",,560494,597420,544950,560260
"46","Operating Account","Recurrent","014","Home purchase allowance",,758444,777000,736000,761000
"46","Operating Account","Recurrent","020","Payments to estates of deceased officers",,17827,22000,21000,22000
"46","Operating Account","Recurrent","022","Passages",,140662,157000,137500,140600
"46","Operating Account","Recurrent","023","Quartering",,5497,5598,5645,5561
"46","Operating Account","Recurrent","024","Staff relief and welfare",,4068,4564,4496,5444
"46","Operating Account","Recurrent","025","Long and Meritorious Service Travel Award Scheme",,107092,114050,107613,113037
"46","Operating Account","Recurrent","028","Legal assistance",,1942,1500,630,1500
"46","Operating Account","Recurrent","032","Accommodation allowance",,12645,13600,12000,12100
"46","Operating Account","Recurrent","033","Home financing allowance",,396956,441000,415000,453000
"46","Operating Account","Recurrent","037","Pensioners' welfare fund",,953,1100,1100,1100
"46","Operating Account","Recurrent","038","Private tenancy allowance",,139701,147000,128000,129000
"46","Operating Account","Recurrent","039","Rent allowance",,522,870,570,990
"46","Operating Account","Recurrent","040","Non-accountable cash allowance",,1025728,1444000,1265000,1511000
"46","Operating Account","Recurrent","041","Mandatory Provident Fund contribution",,178,380,291,524
"46","Operating Account","Recurrent","042","Civil Service Provident Fund contribution",,2252,3466,3809,5306
"47","Operating Account","Recurrent","000","Operational expenses",,698267,713506,718410,726789
"47","Operating Account","Non-Recurrent","700","General non-recurrent",,33516,46630,43756,40566
"47","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,3660,5825,5825,10153
"48","Operating Account","Recurrent","000","Operational expenses",,400517,405981,408899,429611
"48","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,54271,53297,53297,59720
"48","Capital Account","Plant, Equipment and Works","","Plant, vehicles and equipment",,18699,4640,8620,0
"49","Operating Account","Recurrent","000","Operational expenses",,6208656,6602212,6625284,7321578
"49","Operating Account","Non-Recurrent","700","General non-recurrent",,63830,52078,50933,21731
"49","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,144177,121908,131908,246569
"49","Capital Account","Plant, Equipment and Works","","Plant, vehicles and equipment",,95260,0,0,0
"51","Operating Account","Recurrent","000","Operational expenses",,1898081,1891343,1891343,1959367
"51","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,38853,51371,51206,82306
"53","Operating Account","Recurrent","000","Operational expenses",,1745063,1865775,1872046,1788624
"53","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",9080,,,,
"53","Operating Account","Recurrent","","Deduct reimbursement",-9080,,,,
"53","Operating Account","Non-Recurrent","700","General non-recurrent",,41628,128400,99684,228565
"53","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,0,1873,1350,723
"53","Capital Account","Subventions","88C","Hong Kong Arts Development Council - minor plant, vehicles and equipment (block vote)",,628,1241,1241,2533
"53","Capital Account","Subventions","942","Hong Kong Academy for Performing Arts",,1825,9434,8000,9576
"53","Capital Account","Subventions","973","Hong Kong Academy for Performing Arts - minor plant, vehicles and equipment (block vote)",,19228,19029,19029,27787
"55","Operating Account","Recurrent","000","Operational expenses",,143441,163655,157142,172264
"55","Operating Account","Non-Recurrent","700","General non-recurrent",,223581,245714,215489,354166
"59","Operating Account","Recurrent","000","Operational expenses",,411007,420385,420043,434191
"59","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",15800,,,,
"59","Operating Account","Recurrent","","Deduct reimbursement",-15800,,,,
"59","Operating Account","Recurrent","224","Motor Insurers' Bureau - government contribution",,84,103,103,103
"59","Operating Account","Recurrent","225","Traffic Accident Victims Assistance Scheme - levies",,869,940,898,942
"59","Operating Account","Recurrent","226","Allocated stores: local landing charges",,0,10,10,10
"59","Operating Account","Recurrent","267","Unallocated stores: suspense account adjustment",,0,1,1,1
"59","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,5300,7351,7351,8388
"59","Capital Account","Plant, Equipment and Works","691","General purpose vehicles (block vote)",,185205,191000,191000,131000
"60","Operating Account","Recurrent","000","Operational expenses",,2579553,2898435,2695658,3609958
"60","Operating Account","Recurrent","272","Electricity for public lighting",,225217,238045,218532,239337
"60","Operating Account","Non-Recurrent","","General non-recurrent",,1314,0,0,0
"60","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,0,5512,5512,12861
"60","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,3945,6727,5721,0
"62","Operating Account","Recurrent","000","Operational expenses",,287593,304587,312702,322650
"62","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",5231729,,,,
"62","Operating Account","Recurrent","","Deduct reimbursement",-5231729,,,,
"63","Operating Account","Recurrent","000","Operational expenses",,2325464,2473353,2500157,2770468
"63","Operating Account","Non-Recurrent","700","General non-recurrent",,51246,86395,62174,82973
"63","Capital Account","Plant, Equipment and Works","654","Local public works (block vote)",,33722,33387,33387,33153
"63","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,15250,13939,13939,16242
"70","Operating Account","Recurrent","000","Operational expenses",,4247317,4524374,4412139,5640629
"70","Operating Account","Recurrent","202","Repatriation expenses",,6644,7925,11254,12356
"70","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,963,7523,8588,5546
"70","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,20125,18692,18692,24709
"72","Operating Account","Recurrent","000","Operational expenses",,1026913,1047885,1068731,1083204
"72","Operating Account","Recurrent","103","Rewards and special services",,14922,15000,15000,15000
"72","Operating Account","Recurrent","203","Expenses of witnesses, suspects and detainees",,303,450,450,450
"72","Operating Account","Non-Recurrent","700","General non-recurrent",,0,1800,1800,5300
"72","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,2553,9071,9071,16470
"74","Operating Account","Recurrent","000","Operational expenses",,463858,503813,510494,498306
"74","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,2509,1732,1717,1080
"76","Operating Account","Recurrent","000","Operational expenses",,1495788,1539928,1530529,1614397
"76","Operating Account","Recurrent","189","Interest on tax reserve certificates",,6738,22000,19000,18000
"76","Operating Account","Recurrent","209","Special legal expenses",,1184,1400,1500,1500
"76","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,0,3220,3220,0
"78","Operating Account","Recurrent","000","Operational expenses",,145793,156394,157684,167172
"79","Operating Account","Recurrent","000","Operational expenses",,125539,130697,135017,139008
"80","Operating Account","Recurrent","000","Operational expenses",,1504513,1733635,1671100,1882302
"80","Operating Account","Recurrent","206","Expenses of witnesses and jurors",,9046,11783,11783,12897
"80","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,7796,17307,17307,6560
"82","Operating Account","Recurrent","000","Operational expenses",,1323420,1351836,1365648,1525309
"82","Operating Account","Recurrent","227","Payment for Land Registry/Companies Registry Trading Fund services",,36495,31094,33685,45000
"82","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,0,0,0,333
"90","Operating Account","Recurrent","000","Operational expenses",,1541420,1631986,1597780,1818167
"90","Operating Account","Recurrent","280","Contribution to the Occupational Safety and Health Council",,6116,6701,5959,6377
"90","Operating Account","Recurrent","295","Contribution to the Occupational Deafness Compensation Board",,2140,2367,2086,2232
"90","Operating Account","Non-Recurrent","700","General non-recurrent",,301958,312122,314530,321600
"91","Operating Account","Recurrent","000","Operational expenses",,2392100,2443076,2491528,2745002
"91","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",40310,,,,
"91","Operating Account","Recurrent","","Deduct reimbursement",-40310,,,,
"91","Operating Account","Recurrent","221","Clearance of government land - ex-gratia allowances",,2375,2235,3233,785
"91","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,8125,7652,7652,4593
"92","Operating Account","Recurrent","000","Operational expenses",,1345419,1642070,1436870,1752066
"92","Operating Account","Recurrent","234","Court costs",,185527,329120,182920,538100
"92","Operating Account","Non-Recurrent","700","General non-recurrent",,177,736,646,736
"94","Operating Account","Recurrent","000","Operational expenses",,301583,313332,315778,319841
"94","Operating Account","Recurrent","208","Legal aid costs",,721825,683480,683480,796503
"94","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,225,0,0,425
"95","Operating Account","Recurrent","000","Operational expenses",,8200601,8329710,8377166,8665244
"95","Operating Account","Non-Recurrent","700","General non-recurrent",,14064,23144,13503,94846
"95","Capital Account","Plant, Equipment and Works","600","Works",,8558,7795,7795,4494
"95","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,16274,41923,41315,62427
"95","Capital Account","Plant, Equipment and Works","653","Restoration of historic buildings (block vote)",,3735,4600,2800,4610
"95","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,175525,181065,181065,248825
"95","Capital Account","Plant, Equipment and Works","677","Acquiring and commissioning artworks by local artists",,9519,8000,8000,8000
"95","Capital Account","Plant, Equipment and Works","694","Archaeological excavations (block vote)",,799,824,824,809
"95","Capital Account","Subventions","863","Non-government organisation camps (block vote)",,2089,2237,2237,2085
"96","Operating Account","Recurrent","000","Operational expenses",,335870,424161,391906,422175
"96","Operating Account","Non-Recurrent","700","General non-recurrent",,1140,7085,3600,3160
"96","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,868,700,700,0
"100","Operating Account","Recurrent","000","Operational expenses",,1222500,1268725,1281509,1386623
"100","Operating Account","Non-Recurrent","700","General non-recurrent",,4483,2000,1064,534
"100","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,17339,34008,31057,36290
"100","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,62710,57406,57406,116607
"106","Operating Account","Recurrent","251","Additional commitments",,0,100000,0,100000
"106","Operating Account","Recurrent","284","Compensation",,56235,592500,496500,745608
"106","Operating Account","Non-Recurrent","789","Additional commitments",,0,3052000,0,15920000
"106","Operating Account","Non-Recurrent","824","Contribution to the tenth replenishment of the Asian Development Fund",,40752,38764,38764,36032
"106","Operating Account","Non-Recurrent","825","Contribution to the eleventh replenishment of the Asian Development Fund",,0,21814,21814,19368
"106","Operating Account","Non-Recurrent","","Contribution to the ninth replenishment of the Asian Development Fund",,18838,7828,7828,0
"106","Capital Account","Plant, Equipment and Works","689","Additional commitments",,0,100000,0,100000
"112","Operating Account","Recurrent","000","Operational expenses",,555775,553178,564800,588188
"112","Operating Account","Recurrent","366","Remuneration and reimbursements for Members of the Legislative Council",,295572,280817,280817,285029
"112","Operating Account","Non-Recurrent","700","General non-recurrent",,595,104,20,834
"112","Capital Account","Subventions","872","Non-recurrent expenses reimbursements for Members of the Legislative Council",,9088,2702,5000,4667
"112","Capital Account","Subventions","885","Legislative Council Commission",,13022,5061,9891,11359
"114","Operating Account","Recurrent","000","Operational expenses",,115095,114068,116644,117139
"116","Operating Account","Recurrent","000","Operational expenses",,188998,180251,182794,342858
"116","Operating Account","Non-Recurrent","700","General non-recurrent",,0,60,0,60
"116","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,0,0,0,638
"118","Operating Account","Recurrent","000","Operational expenses",,655541,678581,686701,714405
"118","Operating Account","Non-Recurrent","700","General non-recurrent",,6901,8007,7844,7720
"118","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,0,0,0,9120
"118","Capital Account","Plant, Equipment and Works","","Plant, vehicles and equipment",,0,112,380,0
"120","Operating Account","Recurrent","015","Public and judicial service pension benefits and compensation",,30843373,34155020,33650870,36653360
"120","Operating Account","Recurrent","016","Contract gratuities",,400162,468100,467000,489000
"120","Operating Account","Recurrent","017","Surviving spouses・ and children・s pensions and widows・ and orphans・ pensions",,646462,688600,678300,715600
"120","Operating Account","Recurrent","018","Volunteer and defence force pensions, allowances and grants",,19000,20100,18350,18350
"120","Operating Account","Recurrent","021","Ex-gratia pensions, awards and allowances",,96,120,120,120
"120","Operating Account","Recurrent","026","Employees' compensation, injury, incapacity and death related payments and expenses",,39072,53100,53100,58300
"121","Operating Account","Recurrent","000","Operational expenses",,63865,71398,72678,76841
"121","Capital Account","Subventions","","Independent Police Complaints Council - minor plant, vehicles and equipment (block vote)",,350,1995,1995,0
"122","Operating Account","Recurrent","000","Operational expenses",,17548410,18022759,18320453,19052823
"122","Operating Account","Recurrent","103","Rewards and special services",,81866,82000,87400,139740
"122","Operating Account","Recurrent","207","Expenses of witnesses, prisoners and deportees",,4075,4200,4000,4200
"122","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,38604,148226,29719,140064
"122","Capital Account","Plant, Equipment and Works","614","Alterations, additions and improvements to in-service Marine Police craft (block vote)",,1111,1168,1168,1500
"122","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,115249,134127,134127,212319
"122","Capital Account","Plant, Equipment and Works","695","Police specialised vehicles (block vote)",,65691,103264,103264,111512
"135","Operating Account","Recurrent","000","Operational expenses",,38837,68215,49591,372887
"135","Operating Account","Non-Recurrent","700","General non-recurrent",,0,100000,2000,111494
"135","Capital Account","Plant, Equipment and Works","697","TechConnect (block vote)",,0,10000,3656,105821
"136","Operating Account","Recurrent","000","Operational expenses",,24871,30350,29648,27074
"137","Operating Account","Recurrent","000","Operational expenses",,72742,75845,76170,87594
"137","Operating Account","Non-Recurrent","700","General non-recurrent",,4884,5000,4500,4200
"138","Operating Account","Recurrent","000","Operational expenses",,202862,237650,236118,259936
"138","Operating Account","Non-Recurrent","700","General non-recurrent",,104439,155000,155000,430000
"139","Operating Account","Recurrent","000","Operational expenses",,131095,162081,154474,165583
"140","Operating Account","Recurrent","000","Operational expenses",,53030519,54885416,55998197,62149505
"140","Operating Account","Non-Recurrent","700","General non-recurrent",,184806,220000,185000,250000
"140","Capital Account","Subventions","85C","Prince Philip Dental Hospital",,3037,1601,576,535
"140","Capital Account","Subventions","899","Prince Philip Dental Hospital - minor plant, vehicles, equipment, maintenance, and improvement (block vote)",,6898,9348,9348,17439
"140","Capital Account","Subventions","979","Hospital Authority - equipment and information systems (block vote)",,824108,873650,873650,924700
"141","Operating Account","Recurrent","000","Operational expenses",,704005,734855,709428,738067
"141","Operating Account","Non-Recurrent","700","General non-recurrent",,72635,101690,115470,104662
"141","Capital Account","Subventions","864","Shine Skills Centres (block vote)",,5996,4001,4001,6318
"142","Operating Account","Recurrent","000","Operational expenses",,904105,984126,941189,862956
"142","Operating Account","Non-Recurrent","","General non-recurrent",,3644,618,0,0
"142","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,4240,9207,9207,22679
"143","Operating Account","Recurrent","000","Operational expenses",,569040,600626,596512,652846
"144","Operating Account","Recurrent","000","Operational expenses",,606103,684899,684784,669013
"144","Operating Account","Non-Recurrent","700","General non-recurrent",,1879,3200,1992,6530
"144","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,400,0,0,0
"144","Capital Account","Subventions","88A","Equal Opportunities Commission - minor plant, vehicles and equipment (block vote)",,231,0,0,529
"144","Capital Account","Subventions","","Equal Opportunities Commission- maintenance, repairs and minor improvements (block vote)",,0,9500,9500,0
"144","Capital Account","Subventions","","Office of the Privacy Commissioner for Personal Data - minor plant, vehicles and equipment (block vote)",,201,467,467,0
"147","Operating Account","Recurrent","000","Operational expenses",,168373,180562,177927,188231
"147","Operating Account","Recurrent","281","Air passenger departure tax administration fees",,63770,66210,66870,69050
"147","Operating Account","Non-Recurrent","700","General non-recurrent",,109948,72070,66030,47030
"148","Operating Account","Recurrent","000","Operational expenses",,289742,280863,241387,222297
"148","Operating Account","Non-Recurrent","700","General non-recurrent",,475200,62725,40455,540635
"148","Capital Account","Subventions","88G","Financial Services Development Council (block vote)",,0,0,0,7300
"151","Operating Account","Recurrent","000","Operational expenses",,371884,606630,452043,642358
"151","Operating Account","Non-Recurrent","700","General non-recurrent",,0,0,0,130000
"151","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,0,0,0,1160
"152","Operating Account","Recurrent","000","Operational expenses",,1856947,2029442,2005180,2288716
"152","Operating Account","Non-Recurrent","700","General non-recurrent",,24448,484319,31330,331606
"152","Capital Account","Subventions","88F","Hong Kong Tourism Board (block vote)",,0,0,0,9733
"152","Capital Account","Subventions","970","Consumer Council (block vote)",,0,1873,1873,3596
"152","Capital Account","Subventions","","Consumer Council",,3294,0,0,0
"155","Operating Account","Recurrent","000","Operational expenses",,577170,612545,616189,670049
"155","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,9942,6653,6653,15373
"155","Capital Account","Plant, Equipment and Works","","Plant, vehicles and equipment",,3627,1978,3293,0
"155","Capital Account","Subventions","88E","Hong Kong Applied Science and Technology Research Institute - Office renovation, fitting-out, and reinstatement works (block vote)",,0,0,0,6533
"156","Operating Account","Recurrent","000","Operational expenses",,52359148,55345360,56893457,61167969
"156","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",6139,,,,
"156","Operating Account","Recurrent","","Deduct reimbursement",-6139,,,,
"156","Operating Account","Non-Recurrent","700","General non-recurrent",,1575554,1097614,2187410,1226513
"156","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,8277,8791,8678,10889
"156","Capital Account","Plant, Equipment and Works","","Plant, vehicles and equipment",,556,0,0,0
"156","Capital Account","Subventions","871","Vocational Training Council",,13184,18869,28573,7564
"156","Capital Account","Subventions","898","Codes of Aid for existing schools - furniture and equipment (block vote)",,102,626,626,417
"156","Capital Account","Subventions","900","Codes of Aid for existing schools - maintenance, repairs and minor improvement (block vote)",,826400,890248,890248,1229174
"156","Capital Account","Subventions","976","Vocational Training Council (block vote)",,32155,32321,32321,60404
"158","Operating Account","Recurrent","000","Operational expenses",,211621,231409,236598,243062
"158","Operating Account","Non-Recurrent","700","General non-recurrent",,19436,49024,43502,50432
"159","Operating Account","Recurrent","000","Operational expenses",,374627,438607,430930,490903
"159","Operating Account","Non-Recurrent","700","General non-recurrent",,34155,67071,39927,92427
"160","Operating Account","Recurrent","000","Operational expenses",,893287,930085,930734,949251
"160","Operating Account","Non-Recurrent","700","General non-recurrent",,6119,7000,7000,7500
"160","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,38714,29520,39096,9693
"160","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,47319,28597,34272,46017
"162","Operating Account","Recurrent","000","Operational expenses",,512928,525306,531369,554228
"162","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,0,600,580,1167
"163","Operating Account","Recurrent","000","Operational expenses",,920422,554159,342372,711357
"163","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,536,0,0,0
"166","Operating Account","Recurrent","000","Operational expenses",,264704,318647,306815,343295
"166","Operating Account","Recurrent","200","Insurance of aircraft",,434,550,435,700
"166","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,154598,349251,340045,160306
"166","Capital Account","Plant, Equipment and Works","631","Aircraft components, component overhaul and safety equipment (block vote)",,116383,106027,116027,118589
"166","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,0,1800,4300,0
"168","Operating Account","Recurrent","000","Operational expenses",,286806,291762,291762,318188
"168","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,11238,11321,11321,20351
"169","Operating Account","Recurrent","000","Operational expenses",,19146,21202,20373,24573
"170","Operating Account","Recurrent","000","Operational expenses",,19770328,21009754,20640372,23494334
"170","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",11088,,,,
"170","Operating Account","Recurrent","","Deduct reimbursement",-11088,,,,
"170","Operating Account","Recurrent","157","Assistance for patients and their families",,66,143,137,137
"170","Operating Account","Recurrent","176","Criminal and law enforcement injuries compensation",,5832,6390,5810,5810
"170","Operating Account","Recurrent","177","Emergency relief",,442,1000,1000,1000
"170","Operating Account","Recurrent","179","Comprehensive social security assistance scheme",,21163977,20829000,20629000,19723000
"170","Operating Account","Recurrent","180","Social security allowance scheme",,20508046,26537000,22266000,32442000
"170","Operating Account","Recurrent","184","Traffic accident victims assistance scheme",,44707,47175,47175,50900
"170","Operating Account","Recurrent","187","Agents' commission and expenses",,5777,5920,5500,6000
"170","Operating Account","Non-Recurrent","700","General non-recurrent",,2928842,3708563,3055695,8473126
"170","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,6049,6225,4485,8061
"173","Operating Account","Recurrent","000","Operational expenses",,619136,722951,680912,801998
"173","Operating Account","Recurrent","199","Working family allowance",,601914,3126500,670000,2220000
