"Head","Expenditure Component","Conventional Subhead","2016-17
(Actual)
($'000)","2017-18
(Original)
($'000)","2017-18
(Revised)
($'000)","2018-19
(Estimate)
($'000)"
"37","Other Charges","Health Care Voucher Scheme",1102344,2135000,1910127,3155600
"37","Other Charges","Vaccination reimbursements",56373,112908,81968,126159
"37","Subventions","Subvented institutions",316983,315326,314072,322503
"39","Personal Emoluments","Salaries",871719,930855,885074,969878
"39","Personal Emoluments","Allowances",36636,33843,34098,34120
"39","Personal Emoluments","Job-related allowances",8831,8157,8125,8305
"39","Personnel Related Expenses","Mandatory Provident Fund contribution",3718,4732,4524,5905
"39","Personnel Related Expenses","Civil Service Provident Fund contribution",29242,36947,34274,42964
"39","Departmental Expenses","Light and power",294010,295827,316382,322710
"39","Departmental Expenses","Hire of services and professional fees",199247,169664,200996,201593
"39","Departmental Expenses","Fuel and lubricating oil",2398,1975,2050,2004
"39","Departmental Expenses","Specialist supplies and equipment",230300,236346,236346,239194
"39","Departmental Expenses","Maintenance materials",118322,125904,97320,97451
"39","Departmental Expenses","Contract maintenance",605417,569094,607166,617979
"39","Departmental Expenses","General departmental expenses",164273,186905,191737,194720
"42","Personal Emoluments","Salaries",310314,336031,327272,391748
"42","Personal Emoluments","Allowances",3621,3875,4263,4432
"42","Personal Emoluments","Job-related allowances",0,1,1,1
"42","Personnel Related Expenses","Mandatory Provident Fund contribution",530,411,650,444
"42","Personnel Related Expenses","Civil Service Provident Fund contribution",10390,12228,13570,16648
"42","Departmental Expenses","General departmental expenses",114373,130721,127780,142310
"44","Personal Emoluments","Salaries",1130462,1163340,1189042,1319407
"44","Personal Emoluments","Allowances",30126,30914,31234,36393
"44","Personal Emoluments","Job-related allowances",759,820,877,900
"44","Personnel Related Expenses","Mandatory Provident Fund contribution",3682,4111,4396,6330
"44","Personnel Related Expenses","Civil Service Provident Fund contribution",31187,39605,37416,51310
"44","Departmental Expenses","Specialist supplies and equipment",12987,14715,13111,14357
"44","Departmental Expenses","General departmental expenses",363095,548083,422216,718136
"45","Personal Emoluments","Salaries",4180956,4342729,4380554,4555823
"45","Personal Emoluments","Allowances",83419,58641,61729,64729
"45","Personal Emoluments","Job-related allowances",101792,100302,107658,118347
"45","Personnel Related Expenses","Mandatory Provident Fund contribution",18916,19939,20483,25140
"45","Personnel Related Expenses","Civil Service Provident Fund contribution",238964,283763,279248,326051
"45","Departmental Expenses","Specialist supplies and equipment",84643,88268,81768,131249
"45","Departmental Expenses","General departmental expenses",694523,691838,743440,792996
"47","Personal Emoluments","Salaries",396019,413537,417840,419600
"47","Personal Emoluments","Allowances",6649,8900,9300,9300
"47","Personal Emoluments","Job-related allowances",52,100,100,100
"47","Personnel Related Expenses","Mandatory Provident Fund contribution",956,883,1000,1375
"47","Personnel Related Expenses","Civil Service Provident Fund contribution",5604,7100,7270,9345
"47","Departmental Expenses","Hire of services and professional fees",185270,184586,184500,180569
"47","Departmental Expenses","Information and communications technology rentals and maintenance",33728,33400,32400,34000
"47","Departmental Expenses","General departmental expenses",23711,23000,23000,27500
"47","Other Charges","Hosting platform for e-government services",46278,42000,43000,45000
"48","Personal Emoluments","Salaries",299777,306665,309233,311178
"48","Personal Emoluments","Allowances",2248,3090,1530,1670
"48","Personnel Related Expenses","Mandatory Provident Fund contribution",847,808,860,710
"48","Personnel Related Expenses","Civil Service Provident Fund contribution",14668,18045,17993,19985
"48","Departmental Expenses","General departmental expenses",82977,77373,79283,96068
"49","Personal Emoluments","Salaries",3128943,3176141,3234315,3437099
"49","Personal Emoluments","Allowances",39732,35877,42811,42811
"49","Personal Emoluments","Job-related allowances",70856,66662,71998,71998
"49","Personnel Related Expenses","Mandatory Provident Fund contribution",26979,25962,28025,30653
"49","Personnel Related Expenses","Civil Service Provident Fund contribution",138931,181323,177493,223616
"49","Departmental Expenses","General departmental expenses",2802898,3115921,3070192,3514962
"49","Other Charges","Commonwealth War Graves Commission",317,326,450,439
"51","Personal Emoluments","Salaries",133558,132370,134426,140574
"51","Personal Emoluments","Allowances",1429,1035,1524,1751
"51","Personal Emoluments","Job-related allowances",0,10,2,10
"51","Personnel Related Expenses","Leasing and management of quarters",285949,299409,286826,312135
"51","Personnel Related Expenses","Mandatory Provident Fund contribution",450,364,452,329
"51","Personnel Related Expenses","Civil Service Provident Fund contribution",4105,4854,4409,5450
"51","Departmental Expenses","Light and power",267944,263490,248020,265030
"51","Departmental Expenses","Hire of services and professional fees",148903,149869,145458,153057
"51","Departmental Expenses","Specialist supplies and equipment",13170,15000,15000,15000
"51","Departmental Expenses","Workshop services",297452,284989,290972,264370
"51","Departmental Expenses","General departmental expenses",8371,8064,9078,23273
"51","Other Charges","Rents and management charges for properties (other than quarters)",736750,731889,755176,778388
"53","Personal Emoluments","Salaries",171232,185222,189540,201904
"53","Personal Emoluments","Allowances",5231,4835,5488,5488
"53","Personal Emoluments","Job-related allowances",2,20,3,20
"53","Personnel Related Expenses","Mandatory Provident Fund contribution",414,347,517,531
"53","Personnel Related Expenses","Civil Service Provident Fund contribution",5067,7319,6929,10111
"53","Departmental Expenses","General departmental expenses",245138,325308,329738,213356
"53","Other Charges","International Youth Exchange Programme",1740,2920,3000,2920
"53","Other Charges","Family Council related programmes",20843,26794,26004,25870
"53","Other Charges","Programmes to support student athletes, retired athletes, district football development and disability sports",0,0,0,36155
"53","Other Charges","Promotion of civic education outside schools",23948,19909,19909,19909
"53","Other Charges","Youth Square",83706,80320,78650,85140
"53","Other Charges","Youth development activities",149089,160164,160164,165164
"53","Subventions","Creative arts centre in Shek Kip Mei",10248,10248,10248,10248
"53","Subventions","Hong Kong Festival Fringe Limited",5236,7800,8450,7800
"53","Subventions","Duty Lawyer Service",132988,140741,138132,35651
"53","Subventions","Hong Kong Academy for Performing Arts",297897,298923,303089,323636
"53","Subventions","Outward Bound Trust of Hong Kong",1771,1771,1771,1771
"53","Subventions","Hong Kong Arts Development Council",123826,123826,124472,150746
"53","Subventions","Legal Aid Services Council",6367,6500,6607,1662
"53","Subventions","Sports Federation and Olympic Committee of Hong Kong, China",21259,19859,19859,19859
"53","Subventions","Uniformed groups and other youth organisations",105099,108365,106182,103999
"53","Subventions","Major Performing Arts Groups",333962,334584,333294,366684
"55","Personal Emoluments","Salaries",78460,84016,83727,84962
"55","Personal Emoluments","Allowances",1972,2083,3244,3312
"55","Personal Emoluments","Job-related allowances",0,4,2,4
"55","Personnel Related Expenses","Mandatory Provident Fund contribution",334,281,304,253
"55","Personnel Related Expenses","Civil Service Provident Fund contribution",2135,2703,2790,3193
"55","Departmental Expenses","General departmental expenses",60540,74568,67075,80540
"59","Personal Emoluments","Salaries",238521,248122,249837,257063
"59","Personal Emoluments","Allowances",10092,9534,9677,10056
"59","Personal Emoluments","Job-related allowances",1444,1370,1386,1431
"59","Personnel Related Expenses","Mandatory Provident Fund contribution",1189,1398,1378,1519
"59","Personnel Related Expenses","Civil Service Provident Fund contribution",7205,10602,10600,12790
"59","Departmental Expenses","Specialist supplies and equipment",85526,68475,67825,68519
"59","Departmental Expenses","Contract maintenance",1138,997,997,1045
"59","Departmental Expenses","General departmental expenses",65892,79887,78343,81768
"60","Personal Emoluments","Salaries",1227526,1322800,1269891,1431251
"60","Personal Emoluments","Allowances",17763,20111,22334,21727
"60","Personal Emoluments","Job-related allowances",1569,1682,1646,1651
"60","Personnel Related Expenses","Mandatory Provident Fund contribution",4104,6328,4786,7094
"60","Personnel Related Expenses","Civil Service Provident Fund contribution",40832,49966,50378,60321
"60","Personnel Related Expenses","Disturbance allowance",0,0,233,0
"60","Departmental Expenses","Maintenance materials",10,25,23,23
"60","Departmental Expenses","Workshop services",134764,149439,175168,266493
"60","Departmental Expenses","General departmental expenses",149553,154875,184765,418001
"60","Other Charges","Highways maintenance",1003432,1193209,986434,1403397
"63","Personal Emoluments","Salaries",958166,993405,989260,1086765
"63","Personal Emoluments","Allowances",14306,13900,14897,14686
"63","Personal Emoluments","Job-related allowances",586,330,1026,330
"63","Personnel Related Expenses","Mandatory Provident Fund contribution",4166,4591,4401,5881
"63","Personnel Related Expenses","Civil Service Provident Fund contribution",32480,41928,38667,48646
"63","Departmental Expenses","Temporary staff",90842,96252,95590,115558
"63","Departmental Expenses","Honoraria for members of committees",406813,421124,421124,421124
"63","Departmental Expenses","General departmental expenses",279959,245885,279313,362434
"63","Other Charges","Support services for new arrivals and ethnic minorities",60190,59823,59823,59823
"63","Other Charges","Promoting social enterprise development",28063,24856,24856,17387
"63","Other Charges","Honoraria for rural representatives",13553,13843,13788,13843
"63","Other Charges","Neighbourhood Mutual Help Programme",3552,5392,4504,3533
"63","Other Charges","Rural elections",4167,14000,14760,80120
"63","Other Charges","Community involvement projects",357495,461600,461600,461600
"63","Other Charges","Financial assistance to mutual aid committees",6234,7280,7280,7168
"63","Other Charges","Building management",17998,20237,20237,20882
"63","Other Charges","Youth development activities",34491,36000,35706,36000
"63","Subventions","Subventions to New Territories organisations",7901,8347,8195,8988
"63","Subventions","Subventions to district sports and arts associations",4502,4560,5130,5700
"70","Personal Emoluments","Salaries",3195865,3444193,3400842,4146712
"70","Personal Emoluments","Allowances",60128,70971,65820,94252
"70","Personal Emoluments","Job-related allowances",1505,1936,1707,1790
"70","Personnel Related Expenses","Mandatory Provident Fund contribution",13993,18992,18896,31314
"70","Personnel Related Expenses","Civil Service Provident Fund contribution",195578,223566,222438,261667
"70","Departmental Expenses","Information and communications technology rentals and maintenance",161153,161521,149656,214790
"70","Departmental Expenses","Specialist supplies and equipment",152976,106762,90440,144988
"70","Departmental Expenses","General departmental expenses",462103,490983,457295,739624
"70","Other Charges","Land usage cost",3682,5100,4699,5100
"70","Other Charges","Grant to the Immigration Service Welfare Fund",334,350,346,392
"72","Personal Emoluments","Salaries",854206,876895,879696,906642
"72","Personal Emoluments","Allowances",23213,22033,22601,22869
"72","Personal Emoluments","Job-related allowances",6623,6422,6379,6262
"72","Personnel Related Expenses","Death, incapacity, injury payments and expenses",0,0,598,0
"72","Personnel Related Expenses","Mandatory Provident Fund contribution",22675,23126,23150,24657
"72","Departmental Expenses","Remuneration for special appointments",3448,7129,7182,3541
"72","Departmental Expenses","General departmental expenses",96377,91526,108377,98479
"72","Other Charges","Investigation expenses",4212,5100,5100,5100
"72","Other Charges","Publicity",16098,15586,15586,15586
"72","Other Charges","Grant to the ICAC Welfare Fund",61,68,62,68
"74","Personal Emoluments","Salaries",275494,276005,285385,286473
"74","Personal Emoluments","Allowances",10630,11326,10845,11461
"74","Personal Emoluments","Job-related allowances",459,652,554,693
"74","Personnel Related Expenses","Mandatory Provident Fund contribution",1069,1006,1050,976
"74","Personnel Related Expenses","Civil Service Provident Fund contribution",12439,14978,14978,17444
"74","Departmental Expenses","General departmental expenses",56724,59337,57737,62402
"74","Other Charges","Publicity",59832,55404,57698,50670
"74","Other Charges","Expenses of visitors to Hong Kong and overseas speaking engagements",47211,85105,82247,68187
"76","Personal Emoluments","Salaries",1245688,1285044,1274485,1319725
"76","Personal Emoluments","Allowances",21444,22523,25173,26954
"76","Personal Emoluments","Job-related allowances",43,49,81,34
"76","Personnel Related Expenses","Mandatory Provident Fund contribution",4195,5149,4556,6339
"76","Personnel Related Expenses","Civil Service Provident Fund contribution",30271,40474,37521,47344
"76","Departmental Expenses","General departmental expenses",194147,186689,188713,214001
"78","Personal Emoluments","Salaries",98299,109943,106432,113245
"78","Personal Emoluments","Allowances",3378,3622,4363,2329
"78","Personal Emoluments","Job-related allowances",0,1,1,1
"78","Personnel Related Expenses","Mandatory Provident Fund contribution",371,386,415,300
"78","Personnel Related Expenses","Civil Service Provident Fund contribution",4742,6550,5805,7255
"78","Departmental Expenses","General departmental expenses",29371,26892,31648,29642
"78","Other Charges","Publicity and educational programmes",9632,9000,9020,14400
"79","Personal Emoluments","Salaries",23368,26606,27063,27672
"79","Personal Emoluments","Allowances",451,182,238,177
"79","Personal Emoluments","Job-related allowances",0,1,1,1
"79","Personnel Related Expenses","Mandatory Provident Fund contribution",19,34,40,41
"79","Personnel Related Expenses","Civil Service Provident Fund contribution",630,864,865,891
"79","Departmental Expenses","General departmental expenses",101071,103010,106810,110226
"80","Personal Emoluments","Salaries",1048393,1179892,1114283,1260716
"80","Personal Emoluments","Allowances",26374,23634,27159,27478
"80","Personal Emoluments","Job-related allowances",1546,1573,1350,1358
"80","Personnel Related Expenses","Cash allowances",7905,46354,20483,25116
"80","Personnel Related Expenses","Mandatory Provident Fund contribution",3070,4387,3728,3969
"80","Personnel Related Expenses","Civil Service Provident Fund contribution",21393,23053,25811,29775
"80","Departmental Expenses","Hire of services and professional fees",180751,192459,213387,247876
"80","Departmental Expenses","General departmental expenses",215081,262275,264891,286006
"80","Other Charges","Magistrates poor box",0,8,8,8
"82","Personal Emoluments","Salaries",982940,1034454,1049888,1129826
"82","Personal Emoluments","Allowances",8246,7800,8733,11875
"82","Personal Emoluments","Job-related allowances",43,53,89,93
"82","Personnel Related Expenses","Mandatory Provident Fund contribution",5007,6195,4600,5945
"82","Personnel Related Expenses","Civil Service Provident Fund contribution",54855,71935,71285,86696
"82","Departmental Expenses","Hire of services and professional fees",107995,99947,99947,119041
"82","Departmental Expenses","Contract maintenance",1840,1850,1447,1533
"82","Departmental Expenses","General departmental expenses",162494,129602,129659,170300
"90","Personal Emoluments","Salaries",1174475,1221894,1221662,1346528
"90","Personal Emoluments","Allowances",15255,8217,10083,16198
"90","Personal Emoluments","Job-related allowances",0,3,3,3
"90","Personnel Related Expenses","Mandatory Provident Fund contribution",4137,5444,4606,5574
"90","Personnel Related Expenses","Civil Service Provident Fund contribution",40002,49577,47387,61161
"90","Departmental Expenses","General departmental expenses",274107,313572,279303,348482
"90","Other Charges","Campaigns, exhibitions and publicity",33444,33279,34736,40221
"91","Personal Emoluments","Salaries",1869443,1880030,1933983,2060115
"91","Personal Emoluments","Allowances",21982,18762,18759,19087
"91","Personal Emoluments","Job-related allowances",2797,3108,3107,3197
"91","Personnel Related Expenses","Mandatory Provident Fund contribution",5364,5768,5958,8820
"91","Personnel Related Expenses","Civil Service Provident Fund contribution",50549,64226,63809,84798
"91","Departmental Expenses","Hire of services and professional fees",46629,72327,65039,73590
"91","Departmental Expenses","Contract maintenance",214903,191448,202150,226671
"91","Departmental Expenses","General departmental expenses",180433,207392,198708,268709
"91","Other Charges","Financial Secretary Incorporated - suspense account adjustment",0,15,15,15
"92","Personal Emoluments","Salaries",837987,886517,882442,990081
"92","Personal Emoluments","Allowances",19100,21152,21957,24878
"92","Personal Emoluments","Job-related allowances",0,6,6,10
"92","Personnel Related Expenses","Mandatory Provident Fund contribution",2558,3434,2910,4169
"92","Personnel Related Expenses","Civil Service Provident Fund contribution",36520,44759,42507,50791
"92","Departmental Expenses","Remuneration for special appointments",3945,3950,4250,4400
"92","Departmental Expenses","General departmental expenses",153592,180592,165248,196057
"92","Other Charges","Hire of legal services and related professional fees",231286,398360,266410,390680
"92","Other Charges","Legal services for construction dispute resolution",60431,103300,51140,91000
"94","Personal Emoluments","Salaries",271799,280956,283619,283310
"94","Personal Emoluments","Allowances",2183,1750,1891,2284
"94","Personnel Related Expenses","Mandatory Provident Fund contribution",880,967,1036,1107
"94","Personnel Related Expenses","Civil Service Provident Fund contribution",9151,11459,11202,13405
"94","Departmental Expenses","General departmental expenses",17570,18200,18030,19735
"95","Personal Emoluments","Salaries",2898289,3106781,3074649,3268923
"95","Personal Emoluments","Allowances",71397,75819,78709,77350
"95","Personal Emoluments","Job-related allowances",45463,44708,47674,47131
"95","Personnel Related Expenses","Mandatory Provident Fund contribution",16933,21150,20294,22030
"95","Personnel Related Expenses","Civil Service Provident Fund contribution",122700,148755,140235,173910
"95","Departmental Expenses","General departmental expenses",4122515,3944945,4030553,4157046
"95","Other Charges","Publicity",71027,61692,63043,58015
"95","Other Charges","Cultural presentations, entertainment programmes, activities and exhibitions",205194,242073,271956,236597
"95","Other Charges","Recreation and sports activities, programmes, campaigns and exhibitions",78858,67619,72918,65685
"95","Other Charges","Library materials and multi-media services",101325,102795,102796,103796
"95","Other Charges","Artefacts and museum exhibitions",156700,133772,142015,108781
"95","Subventions","Leisure and culture subventions",269554,336037,289127,302003
"95","Subventions","Hong Kong Life Saving Society",541,541,541,541
"95","Subventions","Hong Kong Archaeological Society",149,150,150,150
"95","Subventions","Subventions to non-government organisation camps",39956,42873,42506,43286
"96","Personal Emoluments","Salaries",123270,149572,138138,160324
"96","Personal Emoluments","Allowances",30216,37692,31951,40447
"96","Personnel Related Expenses","Civil Service Provident Fund contribution",4265,4992,4631,6823
"96","Personnel Related Expenses","Disturbance allowance",1959,5235,3047,6799
"96","Departmental Expenses","General departmental expenses",104783,116217,114610,144765
"96","Other Charges","Publicity",71377,110453,99529,63017
"100","Personal Emoluments","Salaries",567051,609413,594716,620712
"100","Personal Emoluments","Allowances",18947,15645,18319,18578
"100","Personal Emoluments","Job-related allowances",5634,5272,5818,5963
"100","Personnel Related Expenses","Mandatory Provident Fund contribution",3033,4032,4029,4423
"100","Personnel Related Expenses","Civil Service Provident Fund contribution",18236,27501,22337,31127
"100","Personnel Related Expenses","Disturbance allowance",0,0,0,260
"100","Departmental Expenses","Maintenance materials",129561,124536,132890,137890
"100","Departmental Expenses","Contract maintenance",110742,106541,112561,117561
"100","Departmental Expenses","General departmental expenses",369296,375785,390839,450109
"116","Personal Emoluments","Salaries",124579,130030,130100,147010
"116","Personal Emoluments","Allowances",3608,3327,3800,3696
"116","Personal Emoluments","Job-related allowances",0,2,2,2
"116","Personnel Related Expenses","Mandatory Provident Fund contribution",488,615,589,995
"116","Personnel Related Expenses","Civil Service Provident Fund contribution",4203,5346,5344,6562
"116","Departmental Expenses","Hire of services and professional fees",5584,4332,5379,5841
"116","Departmental Expenses","General departmental expenses",50536,36599,37580,178752
"118","Personal Emoluments","Salaries",543005,548265,557292,585805
"118","Personal Emoluments","Allowances",7130,7438,7658,10310
"118","Personal Emoluments","Job-related allowances",0,2,2,2
"118","Personnel Related Expenses","Mandatory Provident Fund contribution",1444,1573,1515,2588
"118","Personnel Related Expenses","Civil Service Provident Fund contribution",15018,19353,18284,21402
"118","Departmental Expenses","General departmental expenses",88944,101950,101950,94298
"122","Personal Emoluments","Salaries",14611233,14846000,15065000,15427000
"122","Personal Emoluments","Allowances",219119,205000,232000,220000
"122","Personal Emoluments","Job-related allowances",159050,161000,161337,163000
"122","Personnel Related Expenses","Rent allowance",1498,1600,2000,2000
"122","Personnel Related Expenses","Mandatory Provident Fund contribution",90908,98298,97567,108854
"122","Personnel Related Expenses","Civil Service Provident Fund contribution",746667,881184,870946,1006186
"122","Personnel Related Expenses","Disturbance allowance",404,130,203,600
"122","Departmental Expenses","Specialist supplies and equipment",127805,175000,152000,216000
"122","Departmental Expenses","General departmental expenses",1395464,1460047,1526000,1690783
"122","Other Charges","Upkeep of land boundary security projects",7932,7500,8400,8400
"122","Other Charges","Investigation expenses",46033,40000,53000,53000
"122","Other Charges","Pay and allowances for the auxiliary services",142297,147000,152000,157000
"135","Personal Emoluments","Salaries",23491,35932,30979,139526
"135","Personal Emoluments","Allowances",2355,2673,2117,5307
"135","Personal Emoluments","Job-related allowances",0,2,2,2
"135","Personnel Related Expenses","Mandatory Provident Fund contribution",72,161,131,437
"135","Personnel Related Expenses","Civil Service Provident Fund contribution",396,1485,951,4041
"135","Departmental Expenses","General departmental expenses",12523,27962,15411,223574
"136","Personal Emoluments","Salaries",19446,21963,21810,20676
"136","Personal Emoluments","Allowances",270,337,385,576
"136","Personal Emoluments","Job-related allowances",0,2,2,2
"136","Personnel Related Expenses","Mandatory Provident Fund contribution",8,19,13,9
"136","Personnel Related Expenses","Civil Service Provident Fund contribution",32,42,43,71
"136","Departmental Expenses","Remuneration for special appointments",3366,6017,5700,3482
"136","Departmental Expenses","General departmental expenses",1749,1970,1695,2258
"137","Personal Emoluments","Salaries",44816,47168,47755,49009
"137","Personal Emoluments","Allowances",805,812,525,531
"137","Personal Emoluments","Job-related allowances",0,2,2,2
"137","Personnel Related Expenses","Mandatory Provident Fund contribution",72,74,59,35
"137","Personnel Related Expenses","Civil Service Provident Fund contribution",1550,1893,1933,2272
"137","Departmental Expenses","General departmental expenses",25499,25896,25896,35745
"138","Personal Emoluments","Salaries",105077,110755,122318,133089
"138","Personal Emoluments","Allowances",3410,3475,3691,4483
"138","Personal Emoluments","Job-related allowances",1,5,3,2
"138","Personnel Related Expenses","Mandatory Provident Fund contribution",178,203,254,180
"138","Personnel Related Expenses","Civil Service Provident Fund contribution",4941,5087,6090,8420
"138","Departmental Expenses","Temporary staff",38232,39014,43817,49718
"138","Departmental Expenses","Honoraria for members of committees",3322,4527,3894,4122
