"Head","Programme No.","Programme Name","Sector","2013-14
(Actual)
($m)","2014-15
(Original)
($m)","2014-15
(Revised)
($m)","2015-16
(Estimate)
($m)"
"122",1,"Maintenance of Law and Order in the Community","",7304.4,7572.8,8041.4,8076.0
"122",2,"Prevention and Detection of Crime","",3388.7,3213.7,3380.6,3432.8
"122",3,"Road Safety","",1286.9,1554.8,1657.5,1656.8
"122",4,"Operations","",3164.2,3173.9,3331.4,3635.1
"136",1,"Secretariat services for the Public Service Commission","",20.4,20.8,21.6,21.9
"137",1,"Director of Bureau's Office","",16.0,15.5,15.8,15.9
"137",2,"Power","",22.7,31.9,31.3,33.2
"137",3,"Sustainable Development","",29.9,33.0,31.3,32.3
"138",1,"Director of Bureau's Office","",9.9,13.4,13.5,13.4
"138",2,"Buildings, Lands and Planning","",527.6,478.6,463.3,302.4
"139",1,"Director of Bureau's Office","",10.7,11.1,11.4,11.1
"139",2,"Agriculture, Fisheries and Food Safety","",34.1,44.6,44.9,50.3
"139",3,"Environmental Hygiene","",30.0,20.5,20.1,22.9
"140",1,"Health","",224.7,386.4,326.2,371.6
"140",2,"Subvention: Hospital Authority","",46315.6,47973.0,49706.8,49876.0
"140",3,"Subvention: Prince Philip Dental Hospital","",152.2,148.4,152.9,153.0
"141",1,"Director of Bureau's Office","",9.0,12.2,11.1,12.1
"141",2,"Social Welfare","",342.5,374.7,371.7,412.6
"141",3,"Women's Interests","",25.5,29.6,28.8,32.2
"141",4,"Manpower Development","",15032.7,31.1,30.5,34.6
"141",5,"Subvention: Shine Skills Centres","",97.0,98.7,101.5,100.5
"141",6,"Subvention: Guardianship Board and Environmental Advisory Service","",6.3,7.3,7.4,7.0
"141",7,"Subvention: Vocational Training Council (Vocational Training)","",200.1,200.1,206.4,202.7
"142",1,"Efficiency Unit","",167.6,221.5,208.4,221.1
"142",2,"Government Records Service","",45.4,57.3,54.6,58.7
"142",3,"CSO-Administration Wing","",448.4,509.8,476.8,527.8
"142",4,"Protocol Division","",39.7,45.2,44.4,45.6
"143",1,"Director of Bureau's Office","",6.5,6.5,6.7,6.7
"143",2,"Human Resource Management","",234.7,255.6,262.2,275.8
"143",3,"Translation and Interpretation Services and Use of Official Languages","",121.2,126.9,127.4,135.8
"143",4,"Civil Service Training and Development","",122.0,132.4,130.7,138.7
"144",1,"Director of Bureau's Office","",9.9,9.7,9.9,10.2
"144",2,"Constitutional and Mainland Affairs","",104.5,128.6,117.8,112.2
"144",3,"Mainland and Taiwan Offices","",204.9,251.6,241.3,257.9
"144",4,"Rights of the Individual","",19.4,23.2,28.3,24.7
"144",5,"Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data","Equal Opportunities Commission",94.2,101.4,106.0,105.1
"144",5,"Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data","Office of the Privacy Commissioner for Personal Data",64.6,68.4,73.9,70.5
"147",1,"Director of Bureau's Office","",12.5,12.7,13.0,13.2
"147",2,"Revenue and Financial Control","",136.9,136.0,140.3,143.7
"147",3,"Service Departments","",57.1,58.6,60.4,61.3
"148",1,"Financial Services","",231.0,312.9,235.6,229.8
"151",1,"Director of Bureau's Office","",12.4,12.4,12.6,12.6
"151",2,"Internal Security","",133.3,144.5,144.5,148.8
"151",3,"Immigration Control","",131.0,168.3,158.0,194.7
"152",1,"Director of Bureau's Office","",9.9,11.2,11.5,11.9
"152",2,"Commerce and Industry","",152.6,180.4,180.2,244.2
"152",3,"Subvention: Hong Kong Trade Development Council","",389.5,393.4,393.4,393.4
"152",4,"Posts, Competition Policy and Consumer Protection","",19.8,8.8,10.9,9.0
"152",5,"Subvention: Consumer Council","",91.8,102.9,107.2,108.3
"152",6,"Travel and Tourism","",158.7,208.2,208.8,238.1
"152",7,"Subvention: Hong Kong Tourism Board","",570.2,655.7,667.9,747.9
"152",8,"Public Safety","",0.5,0.5,0.5,0.5
"152",9,"Subvention: Competition Commission","",87.7,83.9,86.4,75.9
"155",1,"Support for Research and Development","",66.9,89.4,87.0,109.0
"155",2,"Fostering University-Industry Collaboration","",7.6,7.2,6.9,6.6
"155",3,"Promotion of Technological Entrepreneurship","",6.9,7.2,9.0,10.4
"155",4,"Planning for Innovation and Technology Development","",34.2,39.8,38.7,39.1
"155",5,"Infrastructural Support","",12.1,12.3,11.7,12.1
"155",6,"Quality Support","",101.4,102.4,108.7,108.7
"155",7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited","Hong Kong Applied Science and Technology Research Institute Company Limited",134.5,141.5,141.5,141.5
"155",7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited","Hong Kong Productivity Council",187.4,187.4,192.9,192.9
"156",1,"Director of Bureau's Office","",11.4,11.5,11.7,11.7
"156",2,"Primary Education","Government sector",940.2,1018.2,1025.1,1096.4
"156",2,"Primary Education","Subvented sector",12205.6,13235.9,13401.1,14097.1
"156",3,"Secondary Education","Government sector",1396.0,1451.5,1455.2,1516.9
"156",3,"Secondary Education","Subvented sector",21021.2,21697.7,22302.7,22527.1
"156",4,"Special Education","",1822.5,2035.7,2009.3,2186.0
"156",5,"Other Educational Services and Subsidies","",3472.1,3799.5,3717.0,4361.1
"156",6,"Vocational Education","",2081.8,2084.6,2182.1,2228.1
"156",7,"Policy and Support","",6780.7,2034.9,1982.1,3358.3
"158",1,"Director of Bureau's Office","",13.3,12.3,13.5,13.8
"158",2,"Land and Waterborne Transport","",76.4,79.4,79.2,89.0
"158",3,"Air and Sea Communications and Logistics Development","",90.3,108.4,106.5,120.5
"159",1,"Water Supply","",10.3,10.6,9.6,10.3
"159",2,"Heritage Conservation","",54.1,54.4,48.4,52.5
"159",3,"Greening, Landscape and Tree Management","",49.1,46.2,45.1,48.4
"159",4,"Energizing Kowloon East","",27.6,30.9,28.9,31.0
"159",5,"Intra-Governmental Services","",255.7,305.9,290.4,274.2
"160",1,"Radio","",299.5,323.0,342.4,347.5
"160",2,"Public Affairs and General Television Programme","",361.5,392.2,372.4,414.3
"160",3,"School Education Television Programme","",30.9,30.7,30.8,31.8
"160",4,"New Media","",31.3,38.6,32.7,29.5
"162",1,"Statutory Valuation and Assessments","",299.3,315.2,310.6,326.2
"162",2,"Collection and Billing of Rates and Government Rent","",55.2,57.2,60.7,63.2
"162",3,"Provision of Valuation and Property Information Services","",78.4,78.2,81.5,82.4
"162",4,"Landlord and Tenant Services","",26.9,28.7,29.8,30.1
"163",1,"Electoral Services","",81.8,268.3,185.7,743.8
"166",1,"Government Flying Service","",312.2,367.3,360.5,583.3
"168",1,"Weather Services","",209.5,222.7,229.9,236.9
"168",2,"Radiation Monitoring and Assessment","",25.6,26.1,27.2,27.2
"168",3,"Time Standard and Geophysical Services","",10.7,11.0,11.4,11.4
"169",1,"Compliance with Interception and Surveillance Legislation","",16.9,18.4,18.7,21.5
"170",1,"Family and Child Welfare","Government sector",933.6,960.0,992.8,1039.5
"170",1,"Family and Child Welfare","Subvented sector",1268.7,1382.8,1434.5,1589.2
"170",2,"Social Security","Government sector",39363.3,40179.7,40564.3,41130.6
"170",2,"Social Security","Subvented sector",0.5,0.6,0.6,0.6
"170",3,"Services for The Elderly","Government sector",195.5,211.9,201.8,214.2
"170",3,"Services for The Elderly","Subvented/private sectors",5085.9,5866.7,5782.3,6452.2
"170",4,"Rehabilitation and Medical Social Services","Government sector",699.8,529.4,531.6,550.7
"170",4,"Rehabilitation and Medical Social Services","Subvented/private sectors",3750.6,4522.2,4515.6,4978.1
"170",5,"Services for Offenders","Government sector",272.1,284.8,286.2,296.0
"170",5,"Services for Offenders","Subvented sector",61.7,63.3,66.9,67.6
"170",6,"Community Development","Government sector",4.5,4.5,4.7,4.7
"170",6,"Community Development","Subvented sector",171.1,165.7,172.8,173.3
"170",7,"Young People","Government sector",52.1,55.3,53.1,73.3
"170",7,"Young People","Subvented sector",1799.4,1682.6,1752.1,1779.2
"173",1,"Student Assistance Scheme","",4917.4,5380.6,5016.8,5377.4
"173",2,"Low-income Working Family Allowance","",0.0,0.0,5.1,177.9
"174",1,"Secretariat services for the following advisory bodies¡X¡E Standing Commission on Civil Service Salaries and Conditions of Service¡E Standing Committee on Disciplined Services Salaries and Conditions of Service¡E Standing Committee on Directorate Salaries and Conditions of Service¡E Standing Committee on Judicial Salaries and Conditions of Service¡E Advisory Committee on Post-service Employment of Civil Servants","",30.3,29.7,31.5,29.2
"180",1,"Film Classification, Control of Obscene and Indecent Articles and Newspaper Registration","",39.9,43.8,43.5,45.4
"181",1,"Commercial Relations","",103.1,105.2,110.1,113.9
"181",2,"Trade Support and Facilitation","",124.3,124.7,126.3,123.3
"181",3,"Support for Small and Medium Enterprises and Industries","",575.7,598.6,581.4,593.9
"186",1,"Planning and Development","",307.2,310.3,332.5,374.5
"186",2,"Licensing of Vehicles and Drivers","",290.6,327.0,315.7,346.8
"186",3,"District Traffic and Transport Services","",412.4,437.0,448.3,489.1
"186",4,"Management of Transport Services","",262.8,302.2,269.6,318.3
"186",5,"Transport Services for Persons with Disabilities and Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities","",579.7,686.5,673.5,1005.5
"188",1,"Central Accounting, Collections and Payments","",128.6,134.2,130.5,133.2
"188",2,"Payment of Salaries, Pensions and Benefits","",114.2,115.6,118.6,116.9
"188",3,"Accounting and Financial Information Systems","",92.5,112.2,113.1,113.5
"188",4,"Management of Funds","",6.6,7.4,7.4,7.5
"190",1,"University Grants Committee","",15656.8,15601.7,16386.3,16988.1
"194",1,"Water Supply: Planning and Distribution","",6260.7,6483.8,6546.0,6924.6
"194",2,"Water Quality Control","",164.7,165.9,173.0,176.1
"194",3,"Customer Services","",448.1,446.2,456.5,464.1
